FUNIT: Hz
UNIT: dB
4.086579e+08 [-46.53, -96.45] [-46.33, -95.45] [-46.13, -94.45]
4.242641e+08 [-46.25, -117.27] [-46.05, -116.27] [-45.85, -115.27]
4.404662e+08 [-45.96, -138.67] [-45.76, -137.67] [-45.56, -136.67]
4.572871e+08 [-45.66, -161.19] [-45.46, -160.19] [-45.26, -159.19]
4.747504e+08 [-45.39, 175.41] [-45.19, 176.41] [-44.99, 177.41]
4.928806e+08 [-45.10, 151.47] [-44.90, 152.47] [-44.70, 153.47]
5.117031e+08 [-44.83, 126.43] [-44.63, 127.43] [-44.43, 128.43]
5.312445e+08 [-44.55, 100.41] [-44.35, 101.41] [-44.15, 102.41]
5.515321e+08 [-44.27, 73.29] [-44.07, 74.29] [-43.87, 75.29]
5.725945e+08 [-44.02, 45.27] [-43.82, 46.27] [-43.62, 47.27]
5.944612e+08 [-43.75, 16.15] [-43.55, 17.15] [-43.35, 18.15]
6.171630e+08 [-43.48, -14.15] [-43.28, -13.15] [-43.08, -12.15]
6.407317e+08 [-43.23, -45.50] [-43.03, -44.50] [-42.83, -43.50]
6.652006e+08 [-42.98, -78.02] [-42.78, -77.02] [-42.58, -76.02]
6.906038e+08 [-42.74, -111.91] [-42.54, -110.91] [-42.34, -109.91]
7.169772e+08 [-42.48, -147.06] [-42.28, -146.06] [-42.08, -145.06]
7.443577e+08 [-42.24, 176.50] [-42.04, 177.50] [-41.84, 178.50]
7.727839e+08 [-42.02, 138.54] [-41.82, 139.54] [-41.62, 140.54]
8.022956e+08 [-41.80, 99.20] [-41.60, 100.20] [-41.40, 101.20]
8.329344e+08 [-41.59, 58.42] [-41.39, 59.42] [-41.19, 60.42]
8.647432e+08 [-41.39, 16.01] [-41.19, 17.01] [-40.99, 18.01]
8.977667e+08 [-41.19, -28.12] [-40.99, -27.12] [-40.79, -26.12]
9.320514e+08 [-41.02, -73.82] [-40.82, -72.82] [-40.62, -71.82]
9.676454e+08 [-40.85, -120.95] [-40.65, -119.95] [-40.45, -118.95]
1.004599e+09 [-40.67, -170.37] [-40.47, -169.37] [-40.27, -168.37]
1.042963e+09 [-40.54, 137.93] [-40.34, 138.93] [-40.14, 139.93]
1.082793e+09 [-40.41, 84.70] [-40.21, 85.70] [-40.01, 86.70]
1.124143e+09 [-40.29, 29.43] [-40.09, 30.43] [-39.89, 31.43]
1.167073e+09 [-40.19, -28.03] [-39.99, -27.03] [-39.79, -26.03]
1.211642e+09 [-40.10, -87.73] [-39.90, -86.73] [-39.70, -85.73]
1.257913e+09 [-40.03, -149.76] [-39.83, -148.76] [-39.63, -147.76]
1.305952e+09 [-40.00, 145.74] [-39.80, 146.74] [-39.60, 147.74]
1.355825e+09 [-39.99, 78.81] [-39.79, 79.81] [-39.59, 80.81]
1.407602e+09 [-39.98, 9.20] [-39.78, 10.20] [-39.58, 11.20]
1.461357e+09 [-40.01, -63.18] [-39.81, -62.18] [-39.61, -61.18]
1.517164e+09 [-40.09, -138.38] [-39.89, -137.38] [-39.69, -136.38]
1.575103e+09 [-40.18, 143.39] [-39.98, 144.39] [-39.78, 145.39]
1.635254e+09 [-40.29, 62.08] [-40.09, 63.08] [-39.89, 64.08]
1.697703e+09 [-40.43, -22.62] [-40.23, -21.62] [-40.03, -20.62]
1.762536e+09 [-40.63, -110.62] [-40.43, -109.62] [-40.23, -108.62]
1.829845e+09 [-40.85, 157.75] [-40.65, 158.75] [-40.45, 159.75]
1.899725e+09 [-41.09, 62.20] [-40.89, 63.20] [-40.69, 64.20]
1.972273e+09 [-41.36, -37.39] [-41.16, -36.39] [-40.96, -35.39]
2.047592e+09 [-41.65, -141.12] [-41.45, -140.12] [-41.25, -139.12]
2.125787e+09 [-41.96, 110.68] [-41.76, 111.68] [-41.56, 112.68]
2.206969e+09 [-42.22, -2.09] [-42.02, -1.09] [-41.82, -0.09]
2.291250e+09 [-42.43, -120.04] [-42.23, -119.04] [-42.03, -118.04]
