FUNIT: Hz
UNIT: dB
2.763468e+09 [-0.98, -65.62] [-0.78, -64.62] [-0.58, -63.62]
2.869001e+09 [-1.00, 30.81] [-0.80, 31.81] [-0.60, 32.81]
2.978565e+09 [-1.02, 117.11] [-0.82, 118.11] [-0.62, 119.11]
3.092313e+09 [-1.03, -166.92] [-0.83, -165.92] [-0.63, -164.92]
3.210405e+09 [-1.04, -101.95] [-0.84, -100.95] [-0.64, -99.95]
3.333007e+09 [-1.07, -48.24] [-0.87, -47.24] [-0.67, -46.24]
3.460290e+09 [-1.08, -5.98] [-0.88, -4.98] [-0.68, -3.98]
3.592435e+09 [-1.09, 24.02] [-0.89, 25.02] [-0.69, 26.02]
3.729626e+09 [-1.09, 41.43] [-0.89, 42.43] [-0.69, 43.43]
3.872056e+09 [-1.13, 45.67] [-0.93, 46.67] [-0.73, 47.67]
4.019925e+09 [-1.17, 36.37] [-0.97, 37.37] [-0.77, 38.37]
4.173442e+09 [-1.17, 12.98] [-0.97, 13.98] [-0.77, 14.98]
4.332821e+09 [-1.20, -25.21] [-1.00, -24.21] [-0.80, -23.21]
4.498286e+09 [-1.23, -78.47] [-1.03, -77.47] [-0.83, -76.47]
4.670071e+09 [-1.25, -147.53] [-1.05, -146.53] [-0.85, -145.53]
4.848415e+09 [-1.29, 127.14] [-1.09, 128.14] [-0.89, 129.14]
5.033571e+09 [-1.31, 24.72] [-1.11, 25.72] [-0.91, 26.72]
5.225797e+09 [-1.36, -95.29] [-1.16, -94.29] [-0.96, -93.29]
5.425364e+09 [-1.42, 126.34] [-1.22, 127.34] [-1.02, 128.34]
5.632553e+09 [-1.44, -30.99] [-1.24, -29.99] [-1.04, -28.99]
5.847653e+09 [-1.45, 152.26] [-1.25, 153.26] [-1.05, 154.26]
6.070969e+09 [-1.47, -45.20] [-1.27, -44.20] [-1.07, -43.20]
6.302812e+09 [-1.47, 95.96] [-1.27, 96.96] [-1.07, 97.96]
6.543509e+09 [-1.47, -144.98] [-1.27, -143.98] [-1.07, -142.98]
6.793398e+09 [-1.45, -48.94] [-1.25, -47.94] [-1.05, -46.94]
7.052830e+09 [-1.46, 23.11] [-1.26, 24.11] [-1.06, 25.11]
7.322170e+09 [-1.46, 70.52] [-1.26, 71.52] [-1.06, 72.52]
7.601795e+09 [-1.44, 92.07] [-1.24, 93.07] [-1.04, 94.07]
7.892099e+09 [-1.45, 86.97] [-1.25, 87.97] [-1.05, 88.97]
8.193489e+09 [-1.45, 53.96] [-1.25, 54.96] [-1.05, 55.96]
8.506389e+09 [-1.50, -7.51] [-1.30, -6.51] [-1.10, -5.51]
8.831239e+09 [-1.53, -98.85] [-1.33, -97.85] [-1.13, -96.85]
9.168493e+09 [-1.57, 138.66] [-1.37, 139.66] [-1.17, 140.66]
9.518628e+09 [-1.59, -15.67] [-1.39, -14.67] [-1.19, -13.67]
9.882133e+09 [-1.62, 156.62] [-1.42, 157.62] [-1.22, 158.62]
1.025952e+10 [-1.65, -65.83] [-1.45, -64.83] [-1.25, -63.83]
1.065132e+10 [-1.68, 35.78] [-1.48, 36.78] [-1.28, 37.78]
1.105808e+10 [-1.72, 99.96] [-1.52, 100.96] [-1.32, 101.96]
1.148038e+10 [-1.73, 125.42] [-1.53, 126.42] [-1.33, 127.42]
1.191880e+10 [-1.77, 110.57] [-1.57, 111.57] [-1.37, 112.57]
1.237396e+10 [-1.79, 53.86] [-1.59, 54.86] [-1.39, 55.86]
1.284651e+10 [-1.82, -46.26] [-1.62, -45.26] [-1.42, -44.26]
1.333711e+10 [-1.92, 168.21] [-1.72, 169.21] [-1.52, 170.21]
1.384643e+10 [-2.00, -23.31] [-1.80, -22.31] [-1.60, -21.31]
1.437521e+10 [-1.94, 96.32] [-1.74, 97.32] [-1.54, 98.32]
1.492419e+10 [-1.98, 165.74] [-1.78, 166.74] [-1.58, 167.74]
1.549412e+10 [-2.03, -178.16] [-1.83, -177.16] [-1.63, -176.16]
1.608583e+10 [-2.04, 144.44] [-1.84, 145.44] [-1.64, 146.44]
1.670013e+10 [-2.01, 49.25] [-1.81, 50.25] [-1.61, 51.25]
1.733789e+10 [-2.14, -103.05] [-1.94, -102.05] [-1.74, -101.05]
1.800000e+10 [-2.15, 43.27] [-1.95, 44.27] [-1.75, 45.27]
