FUNIT: Hz
UNIT: dB
0.0 [-0.2, -1.0] [0.0, 0.0] [0.2, +1.0]
8.329344e+08 [-1.19, -117.91] [-0.99, -116.91] [-0.79, -115.91]
8.647432e+08 [-1.23, 127.85] [-1.03, 128.85] [-0.83, 129.85]
8.977667e+08 [-1.23, 9.36] [-1.03, 10.36] [-0.83, 11.36]
9.320514e+08 [-1.23, -114.09] [-1.03, -113.09] [-0.83, -112.09]
9.676454e+08 [-1.28, 117.99] [-1.08, 118.99] [-0.88, 119.99]
1.004599e+09 [-1.31, -14.83] [-1.11, -13.83] [-0.91, -12.83]
1.042963e+09 [-1.34, -152.49] [-1.14, -151.49] [-0.94, -150.49]
1.082793e+09 [-1.33, 64.20] [-1.13, 65.20] [-0.93, 66.20]
1.124143e+09 [-1.38, -84.43] [-1.18, -83.43] [-0.98, -82.43]
1.167073e+09 [-1.41, 121.08] [-1.21, 122.08] [-1.01, 123.08]
1.211642e+09 [-1.47, -39.16] [-1.27, -38.16] [-1.07, -37.16]
1.257913e+09 [-1.59, 155.05] [-1.39, 156.05] [-1.19, 157.05]
1.305952e+09 [-1.48, -17.34] [-1.28, -16.34] [-1.08, -15.34]
1.355825e+09 [-1.55, 162.81] [-1.35, 163.81] [-1.15, 164.81]
1.407602e+09 [-1.69, -22.81] [-1.49, -21.81] [-1.29, -20.81]
1.461357e+09 [-1.56, 144.25] [-1.36, 145.25] [-1.16, 146.25]
1.517164e+09 [-1.66, -56.92] [-1.46, -55.92] [-1.26, -54.92]
1.575103e+09 [-1.79, 95.30] [-1.59, 96.30] [-1.39, 97.30]
1.635254e+09 [-1.79, -120.87] [-1.59, -119.87] [-1.39, -118.87]
1.697703e+09 [-1.74, 14.87] [-1.54, 15.87] [-1.34, 16.87]
1.762536e+09 [-1.86, 141.54] [-1.66, 142.54] [-1.46, 143.54]
1.829845e+09 [-1.87, -99.49] [-1.67, -98.49] [-1.47, -97.49]
1.899725e+09 [-1.96, 8.56] [-1.76, 9.56] [-1.56, 10.56]
