FUNIT: Hz
UNIT: dB
1.167073e+09 [-41.92, 166.83] [-41.72, 167.83] [-41.52, 168.83]
1.211642e+09 [-41.88, 62.15] [-41.68, 63.15] [-41.48, 64.15]
1.257913e+09 [-42.51, -44.68] [-42.31, -43.68] [-42.11, -42.68]
1.305952e+09 [-42.44, 172.23] [-42.24, 173.23] [-42.04, 174.23]
1.355825e+09 [-42.19, 19.86] [-41.99, 20.86] [-41.79, 21.86]
1.407602e+09 [-41.12, -168.97] [-40.92, -167.97] [-40.72, -166.97]
1.461357e+09 [-40.70, -21.29] [-40.50, -20.29] [-40.30, -19.29]
1.517164e+09 [-40.67, 128.52] [-40.47, 129.52] [-40.27, 130.52]
1.575103e+09 [-37.74, -101.48] [-37.54, -100.48] [-37.34, -99.48]
1.635254e+09 [-40.73, -6.01] [-40.53, -5.01] [-40.33, -4.01]
1.697703e+09 [-46.15, 116.00] [-45.95, 117.00] [-45.75, 118.00]
1.762536e+09 [-44.25, 98.46] [-44.05, 99.46] [-43.85, 100.46]
1.829845e+09 [-36.39, 88.18] [-36.19, 89.18] [-35.99, 90.18]
1.899725e+09 [-41.12, 126.45] [-40.92, 127.45] [-40.72, 128.45]
1.972273e+09 [-45.80, -48.31] [-45.60, -47.31] [-45.40, -46.31]
2.047592e+09 [-51.42, 32.50] [-51.22, 33.50] [-51.02, 34.50]
2.125787e+09 [-54.75, -174.07] [-54.55, -173.07] [-54.35, -172.07]
2.206969e+09 [-46.56, -102.48] [-46.36, -101.48] [-46.16, -100.48]
2.291250e+09 [-47.24, 17.75] [-47.04, 18.75] [-46.84, 19.75]
2.378751e+09 [-50.26, 50.58] [-50.06, 51.58] [-49.86, 52.58]
2.469592e+09 [-38.04, 82.88] [-37.84, 83.88] [-37.64, 84.88]
2.563903e+09 [-29.64, -32.72] [-29.44, -31.72] [-29.24, -30.72]
2.661816e+09 [-34.29, -108.86] [-34.09, -107.86] [-33.89, -106.86]
2.763468e+09 [-39.50, -70.47] [-39.30, -69.47] [-39.10, -68.47]
2.869001e+09 [-32.88, -60.65] [-32.68, -59.65] [-32.48, -58.65]
2.978565e+09 [-36.13, -128.34] [-35.93, -127.34] [-35.73, -126.34]
3.092313e+09 [-41.11, -160.65] [-40.91, -159.65] [-40.71, -158.65]
3.210405e+09 [-39.64, -114.30] [-39.44, -113.30] [-39.24, -112.30]
3.333007e+09 [-28.52, 131.37] [-28.32, 132.37] [-28.12, 133.37]
3.460290e+09 [-27.79, -176.74] [-27.59, -175.74] [-27.39, -174.74]
