FUNIT: Hz
UNIT: dB
4.086579e+08 [-40.72, -123.36] [-40.52, -122.36] [-40.32, -121.36]
4.242641e+08 [-41.05, -170.15] [-40.85, -169.15] [-40.65, -168.15]
4.404662e+08 [-40.99, 145.00] [-40.79, 146.00] [-40.59, 147.00]
4.572871e+08 [-40.75, 93.38] [-40.55, 94.38] [-40.35, 95.38]
4.747504e+08 [-41.09, 42.76] [-40.89, 43.76] [-40.69, 44.76]
4.928806e+08 [-40.63, -9.02] [-40.43, -8.02] [-40.23, -7.02]
5.117031e+08 [-40.86, -67.19] [-40.66, -66.19] [-40.46, -65.19]
5.312445e+08 [-40.77, -121.24] [-40.57, -120.24] [-40.37, -119.24]
5.515321e+08 [-40.50, 174.91] [-40.30, 175.91] [-40.10, 176.91]
5.725945e+08 [-40.96, 115.74] [-40.76, 116.74] [-40.56, 117.74]
5.944612e+08 [-40.35, 49.80] [-40.15, 50.80] [-39.95, 51.80]
6.171630e+08 [-40.75, -15.84] [-40.55, -14.84] [-40.35, -13.84]
6.407317e+08 [-40.26, -88.14] [-40.06, -87.14] [-39.86, -86.14]
6.652006e+08 [-40.67, -157.18] [-40.47, -156.18] [-40.27, -155.18]
6.906038e+08 [-40.40, 123.17] [-40.20, 124.17] [-40.00, 125.17]
7.169772e+08 [-40.53, 50.75] [-40.33, 51.75] [-40.13, 52.75]
7.443577e+08 [-40.59, -35.05] [-40.39, -34.05] [-40.19, -33.05]
7.727839e+08 [-40.23, -117.33] [-40.03, -116.33] [-39.83, -115.33]
8.022956e+08 [-40.73, 157.18] [-40.53, 158.18] [-40.33, 159.18]
8.329344e+08 [-40.84, 63.02] [-40.64, 64.02] [-40.44, 65.02]
8.647432e+08 [-40.26, -28.63] [-40.06, -27.63] [-39.86, -26.63]
8.977667e+08 [-40.95, -124.56] [-40.75, -123.56] [-40.55, -122.56]
9.320514e+08 [-41.12, 132.21] [-40.92, 133.21] [-40.72, 134.21]
9.676454e+08 [-41.06, 27.40] [-40.86, 28.40] [-40.66, 29.40]
1.004599e+09 [-40.87, -81.37] [-40.67, -80.37] [-40.47, -79.37]
1.042963e+09 [-41.25, 169.95] [-41.05, 170.95] [-40.85, 171.95]
1.082793e+09 [-41.60, 52.12] [-41.40, 53.12] [-41.20, 54.12]
1.124143e+09 [-41.73, -69.50] [-41.53, -68.50] [-41.33, -67.50]
1.167073e+09 [-41.96, 166.40] [-41.76, 167.40] [-41.56, 168.40]
1.211642e+09 [-41.98, 35.07] [-41.78, 36.07] [-41.58, 37.07]
1.257913e+09 [-41.84, -100.18] [-41.64, -99.18] [-41.44, -98.18]
1.305952e+09 [-41.87, 121.95] [-41.67, 122.95] [-41.47, 123.95]
1.355825e+09 [-42.36, -18.95] [-42.16, -17.95] [-41.96, -16.95]
1.407602e+09 [-41.50, -156.57] [-41.30, -155.57] [-41.10, -154.57]
1.461357e+09 [-39.18, 42.01] [-38.98, 43.01] [-38.78, 44.01]
1.517164e+09 [-38.94, -130.91] [-38.74, -129.91] [-38.54, -128.91]
1.575103e+09 [-40.21, 69.16] [-40.01, 70.16] [-39.81, 71.16]
1.635254e+09 [-35.76, -111.50] [-35.56, -110.50] [-35.36, -109.50]
1.697703e+09 [-36.38, 49.64] [-36.18, 50.64] [-35.98, 51.64]
1.762536e+09 [-38.20, -122.78] [-38.00, -121.78] [-37.80, -120.78]
1.829845e+09 [-36.13, 27.30] [-35.93, 28.30] [-35.73, 29.30]
1.899725e+09 [-31.82, 173.73] [-31.62, 174.73] [-31.42, 175.73]
1.972273e+09 [-32.48, -55.19] [-32.28, -54.19] [-32.08, -53.19]
2.047592e+09 [-32.75, 71.72] [-32.55, 72.72] [-32.35, 73.72]
2.125787e+09 [-33.22, -172.10] [-33.02, -171.10] [-32.82, -170.10]
2.206969e+09 [-35.58, -71.44] [-35.38, -70.44] [-35.18, -69.44]
2.291250e+09 [-35.57, 61.94] [-35.37, 62.94] [-35.17, 63.94]
2.378751e+09 [-35.91, 141.39] [-35.71, 142.39] [-35.51, 143.39]
2.469592e+09 [-43.73, -162.24] [-43.53, -161.24] [-43.33, -160.24]
2.563903e+09 [-38.32, 59.06] [-38.12, 60.06] [-37.92, 61.06]
