FUNIT: Hz
UNIT: dB
1.124143e+09 [-41.25, 42.38] [-41.05, 43.38] [-40.85, 44.38]
1.167073e+09 [-41.55, -80.50] [-41.35, -79.50] [-41.15, -78.50]
1.211642e+09 [-41.74, 148.61] [-41.54, 149.61] [-41.34, 150.61]
1.257913e+09 [-41.52, 13.12] [-41.32, 14.12] [-41.12, 15.12]
1.305952e+09 [-41.31, -124.45] [-41.11, -123.45] [-40.91, -122.45]
1.355825e+09 [-41.27, 94.13] [-41.07, 95.13] [-40.87, 96.13]
1.407602e+09 [-41.48, -53.52] [-41.28, -52.52] [-41.08, -51.52]
1.461357e+09 [-41.68, 152.91] [-41.48, 153.91] [-41.28, 154.91]
1.517164e+09 [-41.85, -7.50] [-41.65, -6.50] [-41.45, -5.50]
1.575103e+09 [-41.97, -173.79] [-41.77, -172.79] [-41.57, -171.79]
1.635254e+09 [-41.99, 13.08] [-41.79, 14.08] [-41.59, 15.08]
1.697703e+09 [-42.07, -166.17] [-41.87, -165.17] [-41.67, -164.17]
1.762536e+09 [-42.07, 7.77] [-41.87, 8.77] [-41.67, 9.77]
1.829845e+09 [-42.17, 173.90] [-41.97, 174.90] [-41.77, 175.90]
1.899725e+09 [-42.50, -25.20] [-42.30, -24.20] [-42.10, -23.20]
1.972273e+09 [-42.23, 129.67] [-42.03, 130.67] [-41.83, 131.67]
2.047592e+09 [-41.93, -88.24] [-41.73, -87.24] [-41.53, -86.24]
2.125787e+09 [-42.10, 48.33] [-41.90, 49.33] [-41.70, 50.33]
2.206969e+09 [-41.97, 174.40] [-41.77, 175.40] [-41.57, 176.40]
2.291250e+09 [-41.87, -65.42] [-41.67, -64.42] [-41.47, -63.42]
2.378751e+09 [-42.24, 40.66] [-42.04, 41.66] [-41.84, 42.66]
2.469592e+09 [-41.75, 141.35] [-41.55, 142.35] [-41.35, 143.35]
2.563903e+09 [-42.49, -127.47] [-42.29, -126.47] [-42.09, -125.47]
2.661816e+09 [-42.50, -52.57] [-42.30, -51.57] [-42.10, -50.57]
2.763468e+09 [-42.15, 18.93] [-41.95, 19.93] [-41.75, 20.93]
