# Version 1.00
#
freq[Hz];Trc1_S21[dB];
5.400529138463195E+007;-3.511568298906512E-001;
5.606769164291760E+007;-3.503246504278380E-001;
5.820885260624383E+007;-3.595425220060894E-001;
6.043178205577903E+007;-3.737971222252178E-001;
6.273960263641138E+007;-3.677709109039262E-001;
6.513555624326284E+007;-3.894843276981740E-001;
6.762300857571912E+007;-3.857943919297397E-001;
7.020545386537276E+007;-3.930825192497113E-001;
7.288651978452097E+007;-4.020395118579804E-001;
7.566997254211341E+007;-4.047069477930421E-001;
7.855972217430838E+007;-4.188084016474301E-001;
8.155982803706922E+007;-4.281225772500893E-001;
8.467450450851679E+007;-4.347671416790973E-001;
8.790812690904823E+007;-4.445189825035128E-001;
9.126523764753820E+007;-4.564553283062043E-001;
9.475055260225661E+007;-4.640257229408358E-001;
9.836896774546625E+007;-4.667727386560596E-001;
1.021255660210062E+008;-4.759441115075838E-001;
1.060256244845224E+008;-4.819343692041748E-001;
1.100746217163751E+008;-4.885395612184461E-001;
1.142782455176374E+008;-4.965469373620937E-001;
1.186424008999945E+008;-5.066506371992697E-001;
1.231732183807684E+008;-5.155976923735159E-001;
1.278770625947199E+008;-5.298794228355986E-001;
1.327605412347261E+008;-5.367711971788840E-001;
1.378305143338909E+008;-5.448201271568358E-001;
1.430941039021300E+008;-5.532539014461503E-001;
1.485587039307650E+008;-5.688346705054801E-001;
1.542319907791826E+008;-5.788719236207276E-001;
1.601219339581469E+008;-5.865788651003384E-001;
1.662368073249158E+008;-5.973665564560036E-001;
1.725852007058845E+008;-6.090800299878780E-001;
1.791760319630858E+008;-6.235109168141976E-001;
1.860185595214950E+008;-6.325870693254233E-001;
1.931223953747393E+008;-6.469579264213541E-001;
2.004975185874796E+008;-6.536971533873986E-001;
2.081542893134333E+008;-6.663700433117237E-001;
2.161034633487289E+008;-6.808981627902428E-001;
2.243562072410370E+008;-6.911442740694473E-001;
2.329241139757013E+008;-7.018109374021340E-001;
2.418192192609057E+008;-7.131370524764277E-001;
2.510540184347519E+008;-7.296495334072601E-001;
2.606414840180006E+008;-7.445048649580482E-001;
2.705950839371309E+008;-7.559870370225941E-001;
2.809288004433170E+008;-7.698250413155320E-001;
2.916571497539004E+008;-7.845887215134944E-001;
3.027952024439460E+008;-7.993757804475772E-001;
3.143586046165293E+008;-8.162299218917698E-001;
3.263635998814921E+008;-8.322419805208905E-001;
3.388270521735421E+008;-8.467574625573077E-001;
3.517664694417494E+008;-8.612734024520700E-001;
3.652000282437178E+008;-8.783301377191621E-001;
3.791465992789793E+008;-8.977421639676706E-001;
3.936257738974798E+008;-9.145424216671626E-001;
4.086578916203936E+008;-9.311661711954137E-001;
4.242640687119258E+008;-9.465678857655360E-001;
4.404662278422399E+008;-9.648990276630686E-001;
4.572871288831783E+008;-9.821802001816782E-001;
4.747504008800356E+008;-1.001847975572300E+000;
4.928805752442984E+008;-1.017951840214832E+000;
5.117031202139767E+008;-1.040282819696807E+000;
5.312444766299368E+008;-1.063305571462567E+000;
5.515320950784909E+008;-1.080905995559291E+000;
5.725944744524199E+008;-1.098649501168349E+000;
5.944612019845973E+008;-1.116756578068741E+000;
6.171629948104519E+008;-1.142133024090557E+000;
6.407317431176524E+008;-1.162095954060998E+000;
6.652005549436301E+008;-1.186174044214065E+000;
6.906038026838671E+008;-1.208926235908539E+000;
7.169771713762831E+008;-1.228148658442144E+000;
7.443577088295471E+008;-1.252231687915745E+000;
7.727838776657330E+008;-1.275551212899004E+000;
8.022956093504235E+008;-1.300788271172231E+000;
8.329343602861624E+008;-1.323435611555613E+000;
8.647431700480518E+008;-1.347846890412976E+000;
8.977667218432996E+008;-1.375048531769735E+000;
9.320514052796482E+008;-1.403173781881571E+000;
9.676453815308577E+008;-1.424346883218309E+000;
1.004598650990784E+009;-1.459711899173029E+000;
1.042963123511089E+009;-1.480793644609600E+000;
1.082792691321250E+009;-1.509109770814913E+000;
1.124143304733295E+009;-1.537789255318526E+000;
1.167073050737623E+009;-1.561961834114803E+000;
1.211642234600307E+009;-1.595766125134281E+000;
1.257913464576497E+009;-1.623647353978421E+000;
1.305951739858941E+009;-1.659117647070110E+000;
1.355824541885154E+009;-1.691464272866759E+000;
