# Version 1.00
#
freq[Hz];Trc1_S21[dB];
6.793398319110564E+009;-3.101449207471281E+000;
7.052830424534919E+009;-3.165899242692917E+000;
7.322169945094285E+009;-3.244882311037851E+000;
7.601795233631680E+009;-3.269761552848073E+000;
7.892099091852097E+009;-3.352844663654938E+000;
8.193489322108005E+009;-3.428864235950216E+000;
8.506389300256902E+009;-3.494806470382994E+000;
8.831238570395649E+009;-3.572975509173617E+000;
9.168493462307018E+009;-3.640700198349068E+000;
9.518627732485830E+009;-3.715517879256100E+000;
9.882133229645132E+009;-3.781333153082739E+000;
1.025952058563731E+010;-3.849937943618639E+000;
1.065131993276066E+010;-3.930152367373187E+000;
1.105808164845913E+010;-4.012767026833870E+000;
1.148037712846121E+010;-4.106669547123925E+000;
1.191879958944423E+010;-4.196958364795010E+000;
1.237396490235132E+010;-4.261890521476365E+000;
1.284651245753197E+010;-4.347394006410135E+000;
1.333710606292122E+010;-4.446065280469813E+000;
1.384643487651927E+010;-4.558738169921038E+000;
1.437521437448148E+010;-4.617564458777804E+000;
1.492418735617858E+010;-4.737341064577966E+000;
1.549412498763898E+010;-4.840985350683487E+000;
1.608582788483898E+010;-4.918248694747888E+000;
1.670012723836252E+010;-5.022535222141121E+000;
1.733788598101053E+010;-5.132804287897144E+000;
1.800000000000000E+010;-5.228386857821396E+000;
