# Version 1.00
#
freq[Hz];Trc1_S21[dB];
7.020545386537276E+007;-3.967637740120604E-001;
7.288651978452097E+007;-4.129485743848739E-001;
7.566997254211341E+007;-4.107681830120011E-001;
7.855972217430838E+007;-4.195715069517988E-001;
8.155982803706922E+007;-4.322752932666395E-001;
8.467450450851679E+007;-4.336606558368682E-001;
8.790812690904823E+007;-4.408417132484759E-001;
9.126523764753820E+007;-4.591321163908698E-001;
9.475055260225661E+007;-4.681417253759143E-001;
9.836896774546625E+007;-4.691721080861943E-001;
1.021255660210062E+008;-4.779435477214510E-001;
1.060256244845224E+008;-4.822787929330413E-001;
1.100746217163751E+008;-4.870736351920976E-001;
1.142782455176374E+008;-4.999519437681618E-001;
1.186424008999945E+008;-5.078029125173059E-001;
1.231732183807684E+008;-5.205362589641344E-001;
1.278770625947199E+008;-5.269511617428220E-001;
1.327605412347261E+008;-5.342400735300747E-001;
1.378305143338909E+008;-5.471355656134477E-001;
1.430941039021300E+008;-5.543720618116192E-001;
1.485587039307650E+008;-5.689923342593829E-001;
1.542319907791826E+008;-5.768978990837982E-001;
1.601219339581469E+008;-5.832731397877635E-001;
1.662368073249158E+008;-5.968641783911947E-001;
1.725852007058845E+008;-6.095147111121652E-001;
1.791760319630858E+008;-6.253970854434724E-001;
1.860185595214950E+008;-6.315658859618327E-001;
1.931223953747393E+008;-6.471623721112606E-001;
2.004975185874796E+008;-6.533218497345709E-001;
2.081542893134333E+008;-6.675627793686431E-001;
2.161034633487289E+008;-6.807821196663427E-001;
2.243562072410370E+008;-6.900765183067741E-001;
2.329241139757013E+008;-7.022587354433645E-001;
2.418192192609057E+008;-7.149162025521585E-001;
2.510540184347519E+008;-7.282505064897483E-001;
2.606414840180006E+008;-7.405920110135552E-001;
2.705950839371309E+008;-7.570329264169500E-001;
2.809288004433170E+008;-7.695709854055109E-001;
2.916571497539004E+008;-7.835514499692741E-001;
3.027952024439460E+008;-7.981715409617241E-001;
3.143586046165293E+008;-8.158344805996931E-001;
3.263635998814921E+008;-8.294977568915170E-001;
3.388270521735421E+008;-8.445316462508867E-001;
3.517664694417494E+008;-8.604249537176661E-001;
3.652000282437178E+008;-8.770513031124861E-001;
3.791465992789793E+008;-8.944915342243850E-001;
3.936257738974798E+008;-9.126997176054048E-001;
4.086578916203936E+008;-9.285699526065852E-001;
4.242640687119258E+008;-9.500732292838240E-001;
4.404662278422399E+008;-9.640018656878626E-001;
4.572871288831783E+008;-9.812021447971402E-001;
4.747504008800356E+008;-9.997136448242937E-001;
4.928805752442984E+008;-1.016435912621530E+000;
5.117031202139767E+008;-1.039042612463329E+000;
5.312444766299368E+008;-1.057600025936406E+000;
5.515320950784909E+008;-1.077742799900807E+000;
5.725944744524199E+008;-1.096020385811960E+000;
5.944612019845973E+008;-1.115796723084840E+000;
6.171629948104519E+008;-1.138693300042972E+000;
6.407317431176524E+008;-1.160683920921358E+000;
6.652005549436301E+008;-1.183287524131487E+000;
6.906038026838671E+008;-1.203639801143325E+000;
7.169771713762831E+008;-1.224990592937638E+000;
7.443577088295471E+008;-1.245775130006887E+000;
7.727838776657330E+008;-1.272700433985170E+000;
8.022956093504235E+008;-1.295278442930912E+000;
8.329343602861624E+008;-1.318183997206473E+000;
8.647431700480518E+008;-1.343523856516261E+000;
8.977667218432996E+008;-1.370075073537195E+000;
9.320514052796482E+008;-1.396254154656741E+000;
9.676453815308577E+008;-1.421160586826742E+000;
1.004598650990784E+009;-1.448908841156532E+000;
1.042963123511089E+009;-1.474518117893398E+000;
1.082792691321250E+009;-1.500949497459892E+000;
1.124143304733295E+009;-1.531697827181836E+000;
1.167073050737623E+009;-1.553946243018097E+000;
1.211642234600307E+009;-1.588730856600627E+000;
1.257913464576497E+009;-1.615772100538861E+000;
1.305951739858941E+009;-1.648177999601550E+000;
1.355824541885154E+009;-1.679462535454373E+000;
1.407601929131501E+009;-1.706986108946333E+000;
1.461356635527369E+009;-1.744180049548091E+000;
1.517164172627645E+009;-1.773892914989593E+000;
1.575102935687062E+009;-1.804555629399205E+000;
1.635254313785392E+009;-1.842971956953427E+000;
1.697702804158197E+009;-1.877112031221954E+000;
1.762536130893741E+009;-1.920289336076821E+000;
1.829845368162803E+009;-1.961849278037431E+000;
1.899725068154491E+009;-1.991409820177544E+000;
1.972273393897780E+009;-2.029381226849254E+000;
2.047592257155356E+009;-2.074667292725374E+000;
2.125787461583465E+009;-2.109509047064372E+000;
2.206968851358869E+009;-2.160838642156207E+000;
2.291250465481706E+009;-2.194505054818057E+000;
2.378750697970985E+009;-2.226586745534444E+000;
