FUNIT: Hz
UNIT: dB
5.944612e+08 [-1.10, -135.72] [-0.90, -134.72] [-0.70, -133.72]
6.171630e+08 [-1.11, 95.54] [-0.91, 96.54] [-0.71, 97.54]
6.407317e+08 [-1.13, -38.14] [-0.93, -37.14] [-0.73, -36.14]
6.652006e+08 [-1.15, -176.85] [-0.95, -175.85] [-0.75, -174.85]
6.906038e+08 [-1.16, 39.03] [-0.96, 40.03] [-0.76, 41.03]
7.169772e+08 [-1.19, -110.50] [-0.99, -109.50] [-0.79, -108.50]
7.443577e+08 [-1.21, 94.26] [-1.01, 95.26] [-0.81, 96.26]
7.727839e+08 [-1.23, -66.97] [-1.03, -65.97] [-0.83, -64.97]
8.022956e+08 [-1.25, 125.63] [-1.05, 126.63] [-0.85, 127.63]
8.329344e+08 [-1.27, -48.17] [-1.07, -47.17] [-0.87, -46.17]
8.647432e+08 [-1.29, 131.48] [-1.09, 132.48] [-0.89, 133.48]
8.977667e+08 [-1.31, -55.72] [-1.11, -54.72] [-0.91, -53.72]
9.320514e+08 [-1.34, 109.86] [-1.14, 110.86] [-0.94, 111.86]
9.676454e+08 [-1.36, -91.92] [-1.16, -90.92] [-0.96, -89.92]
1.004599e+09 [-1.39, 58.53] [-1.19, 59.53] [-0.99, 60.53]
1.042963e+09 [-1.41, -159.06] [-1.21, -158.06] [-1.01, -157.06]
1.082793e+09 [-1.43, -24.84] [-1.23, -23.84] [-1.03, -22.84]
1.124143e+09 [-1.46, 100.68] [-1.26, 101.68] [-1.06, 102.68]
1.167073e+09 [-1.48, -142.72] [-1.28, -141.72] [-1.08, -140.72]
1.211642e+09 [-1.51, -35.37] [-1.31, -34.37] [-1.11, -33.37]
1.257913e+09 [-1.54, 62.25] [-1.34, 63.25] [-1.14, 64.25]
1.305952e+09 [-1.57, 149.89] [-1.37, 150.89] [-1.17, 151.89]
1.355825e+09 [-1.59, -132.88] [-1.39, -131.88] [-1.19, -130.88]
1.407602e+09 [-1.62, -66.49] [-1.42, -65.49] [-1.22, -64.49]
1.461357e+09 [-1.65, -11.27] [-1.45, -10.27] [-1.25, -9.27]
1.517164e+09 [-1.68, 32.35] [-1.48, 33.35] [-1.28, 34.35]
1.575103e+09 [-1.71, 63.92] [-1.51, 64.92] [-1.31, 65.92]
1.635254e+09 [-1.74, 82.88] [-1.54, 83.88] [-1.34, 84.88]
1.697703e+09 [-1.77, 88.79] [-1.57, 89.79] [-1.37, 90.79]
1.762536e+09 [-1.80, 81.17] [-1.60, 82.17] [-1.40, 83.17]
1.829845e+09 [-1.83, 59.47] [-1.63, 60.47] [-1.43, 61.47]
1.899725e+09 [-1.87, 23.09] [-1.67, 24.09] [-1.47, 25.09]
1.972273e+09 [-1.90, -27.97] [-1.70, -26.97] [-1.50, -25.97]
2.047592e+09 [-1.94, -94.99] [-1.74, -93.99] [-1.54, -92.99]
2.125787e+09 [-1.97, -178.25] [-1.77, -177.25] [-1.57, -176.25]
2.206969e+09 [-2.01, 81.48] [-1.81, 82.48] [-1.61, 83.48]
2.291250e+09 [-2.06, -36.23] [-1.86, -35.23] [-1.66, -34.23]
2.378751e+09 [-2.09, -172.26] [-1.89, -171.26] [-1.69, -170.26]
2.469592e+09 [-2.13, 32.65] [-1.93, 33.65] [-1.73, 34.65]
2.563903e+09 [-2.19, -141.53] [-1.99, -140.53] [-1.79, -139.53]
2.661816e+09 [-2.24, 23.31] [-2.04, 24.31] [-1.84, 25.31]
2.763468e+09 [-2.24, 166.86] [-2.04, 167.86] [-1.84, 168.86]
2.869001e+09 [-2.33, -71.41] [-2.13, -70.41] [-1.93, -69.41]
2.978565e+09 [-2.34, 27.92] [-2.14, 28.92] [-1.94, 29.92]
3.092313e+09 [-2.36, 102.62] [-2.16, 103.62] [-1.96, 104.62]
3.210405e+09 [-2.41, 153.22] [-2.21, 154.22] [-2.01, 155.22]
3.333007e+09 [-2.46, 178.53] [-2.26, 179.53] [-2.06, 180.53]
3.460290e+09 [-2.50, 176.77] [-2.30, 177.77] [-2.10, 178.77]
3.592435e+09 [-2.54, 147.90] [-2.34, 148.90] [-2.14, 149.90]
3.729626e+09 [-2.58, 90.05] [-2.38, 91.05] [-2.18, 92.05]
3.872056e+09 [-2.66, 2.75] [-2.46, 3.75] [-2.26, 4.75]
4.019925e+09 [-2.71, -115.58] [-2.51, -114.58] [-2.31, -113.58]
4.173442e+09 [-2.76, 94.54] [-2.56, 95.54] [-2.36, 96.54]
4.332821e+09 [-2.83, -89.43] [-2.63, -88.43] [-2.43, -87.43]
4.498286e+09 [-2.86, 52.91] [-2.66, 53.91] [-2.46, 54.91]
4.670071e+09 [-3.07, 159.58] [-2.87, 160.58] [-2.67, 161.58]
4.848415e+09 [-3.00, -132.11] [-2.80, -131.11] [-2.60, -130.11]
5.033571e+09 [-3.05, -101.43] [-2.85, -100.43] [-2.65, -99.43]
5.225797e+09 [-3.10, -110.92] [-2.90, -109.92] [-2.70, -108.92]
5.425364e+09 [-3.18, -162.64] [-2.98, -161.64] [-2.78, -160.64]
5.632553e+09 [-3.25, 102.44] [-3.05, 103.44] [-2.85, 104.44]
5.847653e+09 [-3.29, -36.77] [-3.09, -35.77] [-2.89, -34.77]
6.070969e+09 [-3.38, 137.29] [-3.18, 138.29] [-2.98, 139.29]
6.302812e+09 [-3.51, -97.68] [-3.31, -96.68] [-3.11, -95.68]
6.543509e+09 [-3.65, -21.80] [-3.45, -20.80] [-3.25, -19.80]
6.793398e+09 [-3.71, 0.97] [-3.51, 1.97] [-3.31, 2.97]
7.052830e+09 [-3.90, -29.71] [-3.70, -28.71] [-3.50, -27.71]
7.322170e+09 [-4.14, -116.99] [-3.94, -115.99] [-3.74, -114.99]
7.601795e+09 [-4.51, 99.23] [-4.31, 100.23] [-4.11, 101.23]
7.892099e+09 [-4.58, -103.87] [-4.38, -102.87] [-4.18, -101.87]
8.193489e+09 [-4.35, -11.74] [-4.15, -10.74] [-3.95, -9.74]
8.506389e+09 [-4.21, 13.94] [-4.01, 14.94] [-3.81, 15.94]
8.831239e+09 [-4.20, -29.68] [-4.00, -28.68] [-3.80, -27.68]
9.168493e+09 [-4.42, -142.36] [-4.22, -141.36] [-4.02, -140.36]
9.518628e+09 [-4.41, 32.39] [-4.21, 33.39] [-4.01, 34.39]
9.882133e+09 [-4.56, 132.86] [-4.36, 133.86] [-4.16, 134.86]
1.025952e+10 [-4.67, 150.88] [-4.47, 151.88] [-4.27, 152.88]
1.065132e+10 [-5.06, 88.92] [-4.86, 89.92] [-4.66, 90.92]
1.105808e+10 [-5.50, -56.28] [-5.30, -55.28] [-5.10, -54.28]
1.148038e+10 [-5.46, 70.35] [-5.26, 71.35] [-5.06, 72.35]
1.191880e+10 [-5.80, 103.43] [-5.60, 104.43] [-5.40, 105.43]
1.237396e+10 [-5.42, 42.98] [-5.22, 43.98] [-5.02, 44.98]
1.284651e+10 [-5.64, -117.97] [-5.44, -116.97] [-5.24, -115.97]
1.333711e+10 [-5.78, -20.10] [-5.58, -19.10] [-5.38, -18.10]
1.384643e+10 [-5.68, -30.57] [-5.48, -29.57] [-5.28, -28.57]
1.437521e+10 [-5.64, -152.35] [-5.44, -151.35] [-5.24, -150.35]
1.492419e+10 [-5.87, -29.79] [-5.67, -28.79] [-5.47, -27.79]
1.549412e+10 [-6.22, -23.37] [-6.02, -22.37] [-5.82, -21.37]
1.608583e+10 [-6.42, -142.16] [-6.22, -141.16] [-6.02, -140.16]
1.670013e+10 [-6.39, -34.02] [-6.19, -33.02] [-5.99, -32.02]
1.733789e+10 [-7.55, -59.28] [-7.35, -58.28] [-7.15, -57.28]
1.800000e+10 [-7.65, 137.17] [-7.45, 138.17] [-7.25, 139.17]
