FUNIT: Hz
UNIT: dB
6.543509e+09 [-3.65, 89.88] [-3.45, 90.88] [-3.25, 91.88]
6.793398e+09 [-3.73, -8.21] [-3.53, -7.21] [-3.33, -6.21]
7.052830e+09 [-3.87, -152.30] [-3.67, -151.30] [-3.47, -150.30]
7.322170e+09 [-3.91, 17.89] [-3.71, 18.89] [-3.51, 19.89]
7.601795e+09 [-3.92, 139.41] [-3.72, 140.41] [-3.52, 141.41]
7.892099e+09 [-3.89, -148.88] [-3.69, -147.88] [-3.49, -146.88]
8.193489e+09 [-3.93, -131.72] [-3.73, -130.72] [-3.53, -129.72]
8.506389e+09 [-3.98, -169.33] [-3.78, -168.33] [-3.58, -167.33]
8.831239e+09 [-3.98, 98.04] [-3.78, 99.04] [-3.58, 100.04]
9.168493e+09 [-4.05, -53.96] [-3.85, -52.96] [-3.65, -51.96]
9.518628e+09 [-4.41, 92.96] [-4.21, 93.96] [-4.01, 94.96]
9.882133e+09 [-4.89, -180.91] [-4.69, -179.91] [-4.49, -178.91]
1.025952e+10 [-4.48, -162.48] [-4.28, -161.48] [-4.08, -160.48]
1.065132e+10 [-4.54, 149.43] [-4.34, 150.43] [-4.14, 151.43]
1.105808e+10 [-5.54, 29.87] [-5.34, 30.87] [-5.14, 31.87]
1.148038e+10 [-5.15, -158.88] [-4.95, -157.88] [-4.75, -156.88]
1.191880e+10 [-4.96, -71.05] [-4.76, -70.05] [-4.56, -69.05]
1.237396e+10 [-5.10, -58.50] [-4.90, -57.50] [-4.70, -56.50]
1.284651e+10 [-5.37, -131.18] [-5.17, -130.18] [-4.97, -129.18]
1.333711e+10 [-5.22, 73.91] [-5.02, 74.91] [-4.82, 75.91]
1.384643e+10 [-5.60, -170.51] [-5.40, -169.51] [-5.20, -168.51]
1.437521e+10 [-5.35, -149.48] [-5.15, -148.48] [-4.95, -147.48]
1.492419e+10 [-5.59, 135.79] [-5.39, 136.79] [-5.19, 137.79]
1.549412e+10 [-6.28, -38.21] [-6.08, -37.21] [-5.88, -36.21]
1.608583e+10 [-5.78, 40.98] [-5.58, 41.98] [-5.38, 42.98]
1.670013e+10 [-6.31, 18.54] [-6.11, 19.54] [-5.91, 20.54]
1.733789e+10 [-6.28, -124.67] [-6.08, -123.67] [-5.88, -122.67]
1.800000e+10 [-6.66, -20.81] [-6.46, -19.81] [-6.26, -18.81]
