FUNIT: Hz
UNIT: dB
1.305952e+09 [-1.74, -36.32] [-1.54, -35.32] [-1.34, -34.32]
1.355825e+09 [-1.79, 47.53] [-1.59, 48.53] [-1.39, 49.53]
1.407602e+09 [-1.88, 121.03] [-1.68, 122.03] [-1.48, 123.03]
1.461357e+09 [-1.87, -176.44] [-1.67, -175.44] [-1.47, -174.44]
1.517164e+09 [-1.95, -125.42] [-1.75, -124.42] [-1.55, -123.42]
1.575103e+09 [-1.99, -85.88] [-1.79, -84.88] [-1.59, -83.88]
1.635254e+09 [-2.02, -58.83] [-1.82, -57.83] [-1.62, -56.83]
1.697703e+09 [-2.10, -44.33] [-1.90, -43.33] [-1.70, -42.33]
1.762536e+09 [-2.13, -43.16] [-1.93, -42.16] [-1.73, -41.16]
1.829845e+09 [-2.17, -55.58] [-1.97, -54.58] [-1.77, -53.58]
1.899725e+09 [-2.21, -82.37] [-2.01, -81.37] [-1.81, -80.37]
1.972273e+09 [-2.24, -123.54] [-2.04, -122.54] [-1.84, -121.54]
2.047592e+09 [-2.26, -180.24] [-2.06, -179.24] [-1.86, -178.24]
2.125787e+09 [-2.29, 107.17] [-2.09, 108.17] [-1.89, 109.17]
2.206969e+09 [-2.30, 17.88] [-2.10, 18.88] [-1.90, 19.88]
2.291250e+09 [-2.31, -88.44] [-2.11, -87.44] [-1.91, -86.44]
2.378751e+09 [-2.36, 147.29] [-2.16, 148.29] [-1.96, 149.29]
2.469592e+09 [-2.37, 4.46] [-2.17, 5.46] [-1.97, 6.46]
2.563903e+09 [-2.43, -156.73] [-2.23, -155.73] [-2.03, -154.73]
2.661816e+09 [-2.45, 21.66] [-2.25, 22.66] [-2.05, 23.66]
2.763468e+09 [-2.40, 178.18] [-2.20, 179.18] [-2.00, 180.18]
2.869001e+09 [-2.40, -46.11] [-2.20, -45.11] [-2.00, -44.11]
2.978565e+09 [-2.36, 67.93] [-2.16, 68.93] [-1.96, 69.93]
3.092313e+09 [-2.60, 156.08] [-2.40, 157.08] [-2.20, 158.08]
3.210405e+09 [-2.78, -134.41] [-2.58, -133.41] [-2.38, -132.41]
3.333007e+09 [-2.60, -92.91] [-2.40, -91.91] [-2.20, -90.91]
3.460290e+09 [-2.60, -78.15] [-2.40, -77.15] [-2.20, -76.15]
3.592435e+09 [-2.56, -89.33] [-2.36, -88.33] [-2.16, -87.33]
3.729626e+09 [-2.55, -129.28] [-2.35, -128.28] [-2.15, -127.28]
3.872056e+09 [-2.58, 162.11] [-2.38, 163.11] [-2.18, 164.11]
4.019925e+09 [-2.65, 63.67] [-2.45, 64.67] [-2.25, 65.67]
4.173442e+09 [-2.68, -66.42] [-2.48, -65.42] [-2.28, -64.42]
4.332821e+09 [-2.79, 130.89] [-2.59, 131.89] [-2.39, 132.89]
4.498286e+09 [-2.99, -65.44] [-2.79, -64.44] [-2.59, -63.44]
4.670071e+09 [-2.86, 64.54] [-2.66, 65.54] [-2.46, 66.54]
4.848415e+09 [-2.95, 156.83] [-2.75, 157.83] [-2.55, 158.83]
5.033571e+09 [-3.02, -147.80] [-2.82, -146.80] [-2.62, -145.80]
5.225797e+09 [-3.12, -132.71] [-2.92, -131.71] [-2.72, -130.71]
5.425364e+09 [-3.33, -157.57] [-3.13, -156.57] [-2.93, -155.57]
5.632553e+09 [-3.33, 135.67] [-3.13, 136.67] [-2.93, 137.67]
5.847653e+09 [-3.69, 24.34] [-3.49, 25.34] [-3.29, 26.34]
6.070969e+09 [-3.70, -131.88] [-3.50, -130.88] [-3.30, -129.88]
6.302812e+09 [-4.06, 26.18] [-3.86, 27.18] [-3.66, 28.18]
6.543509e+09 [-3.78, 133.78] [-3.58, 134.78] [-3.38, 135.78]
6.793398e+09 [-3.96, -170.27] [-3.76, -169.27] [-3.56, -168.27]
7.052830e+09 [-4.32, -165.40] [-4.12, -164.40] [-3.92, -163.40]
7.322170e+09 [-4.74, 145.04] [-4.54, 146.04] [-4.34, 147.04]
7.601795e+09 [-4.39, 41.07] [-4.19, 42.07] [-3.99, 43.07]
7.892099e+09 [-4.24, -127.11] [-4.04, -126.11] [-3.84, -125.11]
8.193489e+09 [-4.43, 1.95] [-4.23, 2.95] [-4.03, 3.95]
8.506389e+09 [-4.34, 71.08] [-4.14, 72.08] [-3.94, 73.08]
8.831239e+09 [-4.20, 70.64] [-4.00, 71.64] [-3.80, 72.64]
9.168493e+09 [-4.53, -1.49] [-4.33, -0.49] [-4.13, 0.51]
9.518628e+09 [-5.02, -132.65] [-4.82, -131.65] [-4.62, -130.65]
9.882133e+09 [-5.23, 10.97] [-5.03, 11.97] [-4.83, 12.97]
1.025952e+10 [-4.99, 83.10] [-4.79, 84.10] [-4.59, 85.10]
1.065132e+10 [-5.40, 68.94] [-5.20, 69.94] [-5.00, 70.94]
1.105808e+10 [-6.58, -20.90] [-6.38, -19.90] [-6.18, -18.90]
1.148038e+10 [-5.75, 166.29] [-5.55, 167.29] [-5.35, 168.29]
1.191880e+10 [-6.69, -106.80] [-6.49, -105.80] [-6.29, -104.80]
1.237396e+10 [-6.76, -99.75] [-6.56, -98.75] [-6.36, -97.75]
1.284651e+10 [-5.39, 156.06] [-5.19, 157.06] [-4.99, 158.06]
1.333711e+10 [-6.01, -45.29] [-5.81, -44.29] [-5.61, -43.29]
1.384643e+10 [-6.17, 14.14] [-5.97, 15.14] [-5.77, 16.14]
1.437521e+10 [-6.20, -41.33] [-6.00, -40.33] [-5.80, -39.33]
1.492419e+10 [-7.88, 156.92] [-7.68, 157.92] [-7.48, 158.92]
1.549412e+10 [-6.59, -122.91] [-6.39, -121.91] [-6.19, -120.91]
1.608583e+10 [-7.70, -167.24] [-7.50, -166.24] [-7.30, -165.24]
1.670013e+10 [-6.92, 28.16] [-6.72, 29.16] [-6.52, 30.16]
1.733789e+10 [-6.90, 75.35] [-6.70, 76.35] [-6.50, 77.35]
1.800000e+10 [-7.53, -4.23] [-7.33, -3.23] [-7.13, -2.23]
