FUNIT: Hz
UNIT: dB
5.725945e+08 [-40.96, -113.30] [-40.76, -112.30] [-40.56, -111.30]
5.944612e+08 [-40.92, 131.42] [-40.72, 132.42] [-40.52, 133.42]
6.171630e+08 [-40.93, 11.73] [-40.73, 12.73] [-40.53, 13.73]
6.407317e+08 [-41.01, -112.11] [-40.81, -111.11] [-40.61, -110.11]
6.652006e+08 [-40.95, 119.98] [-40.75, 120.98] [-40.55, 121.98]
6.906038e+08 [-40.97, -14.10] [-40.77, -13.10] [-40.57, -12.10]
7.169772e+08 [-40.95, -152.57] [-40.75, -151.57] [-40.55, -150.57]
7.443577e+08 [-41.07, 63.29] [-40.87, 64.29] [-40.67, 65.29]
7.727839e+08 [-41.02, -86.43] [-40.82, -85.43] [-40.62, -84.43]
8.022956e+08 [-41.04, 118.34] [-40.84, 119.34] [-40.64, 120.34]
8.329344e+08 [-41.05, -43.30] [-40.85, -42.30] [-40.65, -41.30]
8.647432e+08 [-41.08, 149.61] [-40.88, 150.61] [-40.68, 151.61]
8.977667e+08 [-41.14, -24.27] [-40.94, -23.27] [-40.74, -22.27]
9.320514e+08 [-41.19, 155.19] [-40.99, 156.19] [-40.79, 157.19]
9.676454e+08 [-41.16, -32.12] [-40.96, -31.12] [-40.76, -30.12]
1.004599e+09 [-41.13, 133.16] [-40.93, 134.16] [-40.73, 135.16]
1.042963e+09 [-41.18, -68.56] [-40.98, -67.56] [-40.78, -66.56]
1.082793e+09 [-41.22, 81.25] [-41.02, 82.25] [-40.82, 83.25]
1.124143e+09 [-41.27, -136.84] [-41.07, -135.84] [-40.87, -134.84]
1.167073e+09 [-41.20, -3.50] [-41.00, -2.50] [-40.80, -1.50]
1.211642e+09 [-41.10, 119.92] [-40.90, 120.92] [-40.70, 121.92]
1.257913e+09 [-41.01, -125.89] [-40.81, -124.89] [-40.61, -123.89]
1.305952e+09 [-40.78, -24.31] [-40.58, -23.31] [-40.38, -22.31]
1.355825e+09 [-43.08, 62.76] [-42.88, 63.76] [-42.68, 64.76]
1.407602e+09 [-42.83, 158.58] [-42.63, 159.58] [-42.43, 160.58]
1.461357e+09 [-42.94, -132.81] [-42.74, -131.81] [-42.54, -130.81]
1.517164e+09 [-46.25, -88.12] [-46.05, -87.12] [-45.85, -86.12]
1.575103e+09 [-55.46, 99.88] [-55.26, 100.88] [-55.06, 101.88]
1.635254e+09 [-41.98, 104.45] [-41.78, 105.45] [-41.58, 106.45]
1.697703e+09 [-40.21, 109.98] [-40.01, 110.98] [-39.81, 111.98]
1.762536e+09 [-41.73, 108.80] [-41.53, 109.80] [-41.33, 110.80]
1.829845e+09 [-43.06, 149.65] [-42.86, 150.65] [-42.66, 151.65]
1.899725e+09 [-38.29, 126.87] [-38.09, 127.87] [-37.89, 128.87]
1.972273e+09 [-38.31, 106.27] [-38.11, 107.27] [-37.91, 108.27]
2.047592e+09 [-36.55, 65.85] [-36.35, 66.85] [-36.15, 67.85]
2.125787e+09 [-34.94, 9.81] [-34.74, 10.81] [-34.54, 11.81]
2.206969e+09 [-33.50, -62.98] [-33.30, -61.98] [-33.10, -60.98]
2.291250e+09 [-31.90, -154.57] [-31.70, -153.57] [-31.50, -152.57]
2.378751e+09 [-30.27, 94.25] [-30.07, 95.25] [-29.87, 96.25]
2.469592e+09 [-28.77, -38.56] [-28.57, -37.56] [-28.37, -36.56]
2.563903e+09 [-28.02, 165.44] [-27.82, 166.44] [-27.62, 167.44]
2.661816e+09 [-28.05, -5.62] [-27.85, -4.62] [-27.65, -3.62]
2.763468e+09 [-28.18, 165.90] [-27.98, 166.90] [-27.78, 167.90]
2.869001e+09 [-28.32, -40.55] [-28.12, -39.55] [-27.92, -38.55]
2.978565e+09 [-28.28, 90.91] [-28.08, 91.91] [-27.88, 92.91]
3.092313e+09 [-25.07, -155.63] [-24.87, -154.63] [-24.67, -153.63]
3.210405e+09 [-25.77, -110.90] [-25.57, -109.90] [-25.37, -108.90]
3.333007e+09 [-28.91, -65.70] [-28.71, -64.70] [-28.51, -63.70]
3.460290e+09 [-31.80, -45.86] [-31.60, -44.86] [-31.40, -43.86]
3.592435e+09 [-37.51, -60.60] [-37.31, -59.60] [-37.11, -58.60]
3.729626e+09 [-43.10, -67.90] [-42.90, -66.90] [-42.70, -65.90]
3.872056e+09 [-44.94, -111.37] [-44.74, -110.37] [-44.54, -109.37]
4.019925e+09 [-44.27, 156.68] [-44.07, 157.68] [-43.87, 158.68]
4.173442e+09 [-44.49, 27.78] [-44.29, 28.78] [-44.09, 29.78]
4.332821e+09 [-37.85, -108.77] [-37.65, -107.77] [-37.45, -106.77]
4.498286e+09 [-43.26, -152.22] [-43.06, -151.22] [-42.86, -150.22]
4.670071e+09 [-45.29, -144.73] [-45.09, -143.73] [-44.89, -142.73]
4.848415e+09 [-53.95, -58.87] [-53.75, -57.87] [-53.55, -56.87]
5.033571e+09 [-42.27, -125.67] [-42.07, -124.67] [-41.87, -123.67]
5.225797e+09 [-46.96, -93.49] [-46.76, -92.49] [-46.56, -91.49]
5.425364e+09 [-36.56, 1.12] [-36.36, 2.12] [-36.16, 3.12]
5.632553e+09 [-33.92, -68.81] [-33.72, -67.81] [-33.52, -66.81]
5.847653e+09 [-32.53, -165.64] [-32.33, -164.64] [-32.13, -163.64]
6.070969e+09 [-34.40, 97.13] [-34.20, 98.13] [-34.00, 99.13]
6.302812e+09 [-30.58, -74.77] [-30.38, -73.77] [-30.18, -72.77]
6.543509e+09 [-38.01, 86.09] [-37.81, 87.09] [-37.61, 88.09]
6.793398e+09 [-45.08, 114.83] [-44.88, 115.83] [-44.68, 116.83]
7.052830e+09 [-40.22, -21.42] [-40.02, -20.42] [-39.82, -19.42]
7.322170e+09 [-44.54, -43.59] [-44.34, -42.59] [-44.14, -41.59]
7.601795e+09 [-47.87, -177.81] [-47.67, -176.81] [-47.47, -175.81]
7.892099e+09 [-60.73, -42.66] [-60.53, -41.66] [-60.33, -40.66]
8.193489e+09 [-40.30, 148.30] [-40.10, 149.30] [-39.90, 150.30]
8.506389e+09 [-36.96, 177.63] [-36.76, 178.63] [-36.56, 179.63]
8.831239e+09 [-44.65, 172.53] [-44.45, 173.53] [-44.25, 174.53]
9.168493e+09 [-46.17, -123.45] [-45.97, -122.45] [-45.77, -121.45]
9.518628e+09 [-43.20, -169.22] [-43.00, -168.22] [-42.80, -167.22]
9.882133e+09 [-34.79, 126.82] [-34.59, 127.82] [-34.39, 128.82]
1.025952e+10 [-31.37, 57.62] [-31.17, 58.62] [-30.97, 59.62]
1.065132e+10 [-27.62, -62.77] [-27.42, -61.77] [-27.22, -60.77]
1.105808e+10 [-39.08, -11.40] [-38.88, -10.40] [-38.68, -9.40]
1.148038e+10 [-36.86, -68.44] [-36.66, -67.44] [-36.46, -66.44]
1.191880e+10 [-39.39, -118.79] [-39.19, -117.79] [-38.99, -116.79]
1.237396e+10 [-32.78, 48.44] [-32.58, 49.44] [-32.38, 50.44]
1.284651e+10 [-49.05, -138.51] [-48.85, -137.51] [-48.65, -136.51]
1.333711e+10 [-32.11, 155.28] [-31.91, 156.28] [-31.71, 157.28]
1.384643e+10 [-27.99, -94.00] [-27.79, -93.00] [-27.59, -92.00]
1.437521e+10 [-32.79, 115.11] [-32.59, 116.11] [-32.39, 117.11]
1.492419e+10 [-32.36, -9.59] [-32.16, -8.59] [-31.96, -7.59]
1.549412e+10 [-31.96, 94.92] [-31.76, 95.92] [-31.56, 96.92]
1.608583e+10 [-31.81, -136.40] [-31.61, -135.40] [-31.41, -134.40]
1.670013e+10 [-35.91, 115.98] [-35.71, 116.98] [-35.51, 117.98]
1.733789e+10 [-38.76, 21.40] [-38.56, 22.40] [-38.36, 23.40]
1.800000e+10 [-32.38, 94.10] [-32.18, 95.10] [-31.98, 96.10]
