FUNIT: Hz
UNIT: dB
7.443577e+08 [-1.57, -145.19] [-1.37, -144.19] [-1.17, -143.19]
7.727839e+08 [-1.61, 3.21] [-1.41, 4.21] [-1.21, 5.21]
8.022956e+08 [-1.63, 143.63] [-1.43, 144.63] [-1.23, 145.63]
8.329344e+08 [-1.66, -84.42] [-1.46, -83.42] [-1.26, -82.42]
8.647432e+08 [-1.69, 38.92] [-1.49, 39.92] [-1.29, 40.92]
8.977667e+08 [-1.72, 153.18] [-1.52, 154.18] [-1.32, 155.18]
9.320514e+08 [-1.75, -101.96] [-1.55, -100.96] [-1.35, -99.96]
9.676454e+08 [-1.78, -6.88] [-1.58, -5.88] [-1.38, -4.88]
1.004599e+09 [-1.81, 78.20] [-1.61, 79.20] [-1.41, 80.20]
1.042963e+09 [-1.84, 152.74] [-1.64, 153.74] [-1.44, 154.74]
1.082793e+09 [-1.87, -143.62] [-1.67, -142.62] [-1.47, -141.62]
1.124143e+09 [-1.90, -91.32] [-1.70, -90.32] [-1.50, -89.32]
1.167073e+09 [-1.93, -50.76] [-1.73, -49.76] [-1.53, -48.76]
1.211642e+09 [-1.97, -22.39] [-1.77, -21.39] [-1.57, -20.39]
1.257913e+09 [-2.00, -6.66] [-1.80, -5.66] [-1.60, -4.66]
1.305952e+09 [-2.04, -4.14] [-1.84, -3.14] [-1.64, -2.14]
1.355825e+09 [-2.08, -15.26] [-1.88, -14.26] [-1.68, -13.26]
1.407602e+09 [-2.11, -40.53] [-1.91, -39.53] [-1.71, -38.53]
1.461357e+09 [-2.14, -80.45] [-1.94, -79.45] [-1.74, -78.45]
1.517164e+09 [-2.18, -135.63] [-1.98, -134.63] [-1.78, -133.63]
1.575103e+09 [-2.22, 153.26] [-2.02, 154.26] [-1.82, 155.26]
1.635254e+09 [-2.26, 65.73] [-2.06, 66.73] [-1.86, 67.73]
1.697703e+09 [-2.29, -38.93] [-2.09, -37.93] [-1.89, -36.93]
1.762536e+09 [-2.35, -161.33] [-2.15, -160.33] [-1.95, -159.33]
1.829845e+09 [-2.39, 57.82] [-2.19, 58.82] [-1.99, 59.82]
1.899725e+09 [-2.45, -101.92] [-2.25, -100.92] [-2.05, -99.92]
1.972273e+09 [-2.49, 78.31] [-2.29, 79.31] [-2.09, 80.31]
2.047592e+09 [-2.52, -121.96] [-2.32, -120.96] [-2.12, -119.96]
2.125787e+09 [-2.57, 16.13] [-2.37, 17.13] [-2.17, 18.13]
2.206969e+09 [-2.64, 132.22] [-2.44, 133.22] [-2.24, 134.22]
2.291250e+09 [-2.69, -134.65] [-2.49, -133.65] [-2.29, -132.65]
2.378751e+09 [-2.71, -65.65] [-2.51, -64.65] [-2.31, -63.65]
2.469592e+09 [-2.76, -21.34] [-2.56, -20.34] [-2.36, -19.34]
2.563903e+09 [-2.81, -3.25] [-2.61, -2.25] [-2.41, -1.25]
2.661816e+09 [-2.90, -11.67] [-2.70, -10.67] [-2.50, -9.67]
2.763468e+09 [-2.93, -47.77] [-2.73, -46.77] [-2.53, -45.77]
2.869001e+09 [-2.99, -113.37] [-2.79, -112.37] [-2.59, -111.37]
2.978565e+09 [-3.06, 152.02] [-2.86, 153.02] [-2.66, 154.02]
3.092313e+09 [-3.12, 25.43] [-2.92, 26.43] [-2.72, 27.43]
3.210405e+09 [-3.18, -133.14] [-2.98, -132.14] [-2.78, -131.14]
3.333007e+09 [-3.32, 34.65] [-3.12, 35.65] [-2.92, 36.65]
3.460290e+09 [-3.44, 167.41] [-3.24, 168.41] [-3.04, 169.41]
3.592435e+09 [-3.67, -95.46] [-3.47, -94.46] [-3.27, -93.46]
3.729626e+09 [-3.79, -33.72] [-3.59, -32.72] [-3.39, -31.72]
3.872056e+09 [-3.67, -13.13] [-3.47, -12.13] [-3.27, -11.13]
4.019925e+09 [-3.62, -32.55] [-3.42, -31.55] [-3.22, -30.55]
4.173442e+09 [-3.61, -95.51] [-3.41, -94.51] [-3.21, -93.51]
4.332821e+09 [-3.75, 158.63] [-3.55, 159.63] [-3.35, 160.63]
4.498286e+09 [-3.71, 8.49] [-3.51, 9.49] [-3.31, 10.49]
4.670071e+09 [-3.82, 170.15] [-3.62, 171.15] [-3.42, 172.15]
4.848415e+09 [-3.97, -76.66] [-3.77, -75.66] [-3.57, -74.66]
5.033571e+09 [-3.92, -14.08] [-3.72, -13.08] [-3.52, -12.08]
5.225797e+09 [-4.21, -3.76] [-4.01, -2.76] [-3.81, -1.76]
5.425364e+09 [-4.19, -49.23] [-3.99, -48.23] [-3.79, -47.23]
5.632553e+09 [-4.21, -150.06] [-4.01, -149.06] [-3.81, -148.06]
5.847653e+09 [-4.29, 50.23] [-4.09, 51.23] [-3.89, 52.23]
6.070969e+09 [-4.39, -170.75] [-4.19, -169.75] [-3.99, -168.75]
6.302812e+09 [-4.50, -95.96] [-4.30, -94.96] [-4.10, -93.96]
6.543509e+09 [-4.58, -86.18] [-4.38, -85.18] [-4.18, -84.18]
6.793398e+09 [-4.62, -144.97] [-4.42, -143.97] [-4.22, -142.97]
7.052830e+09 [-4.73, 84.49] [-4.53, 85.49] [-4.33, 86.49]
7.322170e+09 [-4.80, -118.55] [-4.60, -117.55] [-4.40, -116.55]
7.601795e+09 [-4.81, -38.54] [-4.61, -37.54] [-4.41, -36.54]
7.892099e+09 [-4.87, -38.76] [-4.67, -37.76] [-4.47, -36.76]
8.193489e+09 [-4.90, -121.28] [-4.70, -120.28] [-4.50, -119.28]
8.506389e+09 [-5.04, 69.80] [-4.84, 70.80] [-4.64, 71.80]
8.831239e+09 [-5.15, 173.17] [-4.95, 174.17] [-4.75, 175.17]
9.168493e+09 [-5.38, -177.11] [-5.18, -176.11] [-4.98, -175.11]
9.518628e+09 [-5.37, 97.51] [-5.17, 98.51] [-4.97, 99.51]
9.882133e+09 [-5.53, -87.03] [-5.33, -86.03] [-5.13, -85.03]
1.025952e+10 [-5.62, -14.67] [-5.42, -13.67] [-5.22, -12.67]
1.065132e+10 [-5.88, -50.78] [-5.68, -49.78] [-5.48, -48.78]
1.105808e+10 [-6.57, 160.47] [-6.37, 161.47] [-6.17, 162.47]
1.148038e+10 [-6.28, -100.36] [-6.08, -99.36] [-5.88, -98.36]
1.191880e+10 [-6.04, -123.09] [-5.84, -122.09] [-5.64, -121.09]
1.237396e+10 [-6.45, 88.41] [-6.25, 89.41] [-6.05, 90.41]
1.284651e+10 [-6.43, 170.82] [-6.23, 171.82] [-6.03, 172.82]
1.333711e+10 [-6.62, 118.80] [-6.42, 119.80] [-6.22, 120.80]
1.384643e+10 [-6.68, -73.36] [-6.48, -72.36] [-6.28, -71.36]
1.437521e+10 [-7.22, -55.05] [-7.02, -54.05] [-6.82, -53.05]
1.492419e+10 [-7.22, -178.46] [-7.02, -177.46] [-6.82, -176.46]
1.549412e+10 [-7.53, -104.61] [-7.33, -103.61] [-7.13, -102.61]
1.608583e+10 [-7.46, 166.36] [-7.26, 167.36] [-7.06, 168.36]
1.670013e+10 [-7.75, -92.18] [-7.55, -91.18] [-7.35, -90.18]
1.733789e+10 [-8.19, -168.92] [-7.99, -167.92] [-7.79, -166.92]
1.800000e+10 [-8.69, -67.12] [-8.49, -66.12] [-8.29, -65.12]
