FUNIT: Hz
UNIT: dB
2.869001e+09 [-2.62, 147.67] [-2.42, 148.67] [-2.22, 149.67]
2.978565e+09 [-2.69, 145.90] [-2.49, 146.90] [-2.29, 147.90]
3.092313e+09 [-2.74, 114.76] [-2.54, 115.76] [-2.34, 116.76]
3.210405e+09 [-2.76, 56.09] [-2.56, 57.09] [-2.36, 58.09]
3.333007e+09 [-2.87, -32.77] [-2.67, -31.77] [-2.47, -30.77]
3.460290e+09 [-3.04, -152.51] [-2.84, -151.51] [-2.64, -150.51]
3.592435e+09 [-3.24, 55.89] [-3.04, 56.89] [-2.84, 57.89]
3.729626e+09 [-3.34, -126.52] [-3.14, -125.52] [-2.94, -124.52]
3.872056e+09 [-3.23, 14.20] [-3.03, 15.20] [-2.83, 16.20]
4.019925e+09 [-3.16, 119.36] [-2.96, 120.36] [-2.76, 121.36]
4.173442e+09 [-3.15, -174.11] [-2.95, -173.11] [-2.75, -172.11]
4.332821e+09 [-3.37, -145.64] [-3.17, -144.64] [-2.97, -143.64]
4.498286e+09 [-3.27, -156.44] [-3.07, -155.44] [-2.87, -154.44]
4.670071e+09 [-3.34, 149.75] [-3.14, 150.75] [-2.94, 151.75]
4.848415e+09 [-3.58, 53.95] [-3.38, 54.95] [-3.18, 55.95]
5.033571e+09 [-3.57, -87.76] [-3.37, -86.76] [-3.17, -85.76]
5.225797e+09 [-3.87, 84.89] [-3.67, 85.89] [-3.47, 86.89]
5.425364e+09 [-3.87, -152.31] [-3.67, -151.31] [-3.47, -150.31]
5.632553e+09 [-3.94, -78.69] [-3.74, -77.69] [-3.54, -76.69]
5.847653e+09 [-4.12, -56.69] [-3.92, -55.69] [-3.72, -54.69]
6.070969e+09 [-4.33, -88.31] [-4.13, -87.31] [-3.93, -86.31]
6.302812e+09 [-4.37, -176.31] [-4.17, -175.31] [-3.97, -174.31]
6.543509e+09 [-4.35, 37.49] [-4.15, 38.49] [-3.95, 39.49]
6.793398e+09 [-4.19, -170.82] [-3.99, -169.82] [-3.79, -168.82]
7.052830e+09 [-4.20, -82.95] [-4.00, -81.95] [-3.80, -80.95]
7.322170e+09 [-4.22, -59.52] [-4.02, -58.52] [-3.82, -57.52]
7.601795e+09 [-4.22, -103.39] [-4.02, -102.39] [-3.82, -101.39]
7.892099e+09 [-4.25, 140.96] [-4.05, 141.96] [-3.85, 142.96]
8.193489e+09 [-4.27, -47.50] [-4.07, -46.50] [-3.87, -45.50]
8.506389e+09 [-4.38, 47.58] [-4.18, 48.58] [-3.98, 49.58]
8.831239e+09 [-4.49, 64.66] [-4.29, 65.66] [-4.09, 66.66]
9.168493e+09 [-4.65, -0.85] [-4.45, 0.15] [-4.25, 1.15]
9.518628e+09 [-4.72, -150.93] [-4.52, -149.93] [-4.32, -148.93]
9.882133e+09 [-4.80, -29.14] [-4.60, -28.14] [-4.40, -27.14]
1.025952e+10 [-4.85, 1.19] [-4.65, 2.19] [-4.45, 3.19]
1.065132e+10 [-5.09, -64.56] [-4.89, -63.56] [-4.69, -62.56]
1.105808e+10 [-5.83, 130.12] [-5.63, 131.12] [-5.43, 132.12]
1.148038e+10 [-5.46, -134.99] [-5.26, -133.99] [-5.06, -132.99]
1.191880e+10 [-5.25, -149.05] [-5.05, -148.05] [-4.85, -147.05]
1.237396e+10 [-5.86, 86.67] [-5.66, 87.67] [-5.46, 88.67]
1.284651e+10 [-5.85, -152.13] [-5.65, -151.13] [-5.45, -150.13]
1.333711e+10 [-5.96, -149.57] [-5.76, -148.57] [-5.56, -147.57]
1.384643e+10 [-6.04, 88.07] [-5.84, 89.07] [-5.64, 90.07]
1.437521e+10 [-6.55, -168.51] [-6.35, -167.51] [-6.15, -166.51]
1.492419e+10 [-6.32, 171.33] [-6.12, 172.33] [-5.92, 173.33]
1.549412e+10 [-6.70, 5.46] [-6.50, 6.46] [-6.30, 7.46]
1.608583e+10 [-6.55, 55.53] [-6.35, 56.53] [-6.15, 57.53]
1.670013e+10 [-6.83, -45.09] [-6.63, -44.09] [-6.43, -43.09]
1.733789e+10 [-7.29, 54.02] [-7.09, 55.02] [-6.89, 56.02]
1.800000e+10 [-7.97, -5.02] [-7.77, -4.02] [-7.57, -3.02]
