FUNIT: Hz
UNIT: dB
3.592435e+09 [-3.17, -91.73] [-2.97, -90.73] [-2.77, -89.73]
3.729626e+09 [-3.10, -172.45] [-2.90, -171.45] [-2.70, -170.45]
3.872056e+09 [-3.12, 75.79] [-2.92, 76.79] [-2.72, 77.79]
4.019925e+09 [-3.38, -67.84] [-3.18, -66.84] [-2.98, -65.84]
4.173442e+09 [-3.51, 116.83] [-3.31, 117.83] [-3.11, 118.83]
4.332821e+09 [-3.35, -93.26] [-3.15, -92.26] [-2.95, -91.26]
4.498286e+09 [-3.83, 20.57] [-3.63, 21.57] [-3.43, 22.57]
4.670071e+09 [-3.75, 100.15] [-3.55, 101.15] [-3.35, 102.15]
4.848415e+09 [-3.79, 138.26] [-3.59, 139.26] [-3.39, 140.26]
5.033571e+09 [-3.89, 139.84] [-3.69, 140.84] [-3.49, 141.84]
5.225797e+09 [-3.95, 98.67] [-3.75, 99.67] [-3.55, 100.67]
5.425364e+09 [-4.17, 13.93] [-3.97, 14.93] [-3.77, 15.93]
5.632553e+09 [-4.24, -112.85] [-4.04, -111.85] [-3.84, -110.85]
5.847653e+09 [-4.17, 72.62] [-3.97, 73.62] [-3.77, 74.62]
6.070969e+09 [-4.23, -149.33] [-4.03, -148.33] [-3.83, -147.33]
6.302812e+09 [-4.12, -62.81] [-3.92, -61.81] [-3.72, -60.81]
6.543509e+09 [-4.27, -27.59] [-4.07, -26.59] [-3.87, -25.59]
6.793398e+09 [-4.11, -45.97] [-3.91, -44.97] [-3.71, -43.97]
7.052830e+09 [-4.23, -119.51] [-4.03, -118.51] [-3.83, -117.51]
7.322170e+09 [-4.31, 108.21] [-4.11, 109.21] [-3.91, 110.21]
7.601795e+09 [-4.44, -83.65] [-4.24, -82.65] [-4.04, -81.65]
7.892099e+09 [-4.57, 23.00] [-4.37, 24.00] [-4.17, 25.00]
8.193489e+09 [-4.58, 64.27] [-4.38, 65.27] [-4.18, 66.27]
8.506389e+09 [-4.71, 39.31] [-4.51, 40.31] [-4.31, 41.31]
8.831239e+09 [-4.76, -56.50] [-4.56, -55.50] [-4.36, -54.50]
9.168493e+09 [-4.83, 135.21] [-4.63, 136.21] [-4.43, 137.21]
9.518628e+09 [-4.90, -107.70] [-4.70, -106.70] [-4.50, -105.70]
9.882133e+09 [-5.07, -69.48] [-4.87, -68.48] [-4.67, -67.48]
1.025952e+10 [-5.27, -111.72] [-5.07, -110.72] [-4.87, -109.72]
1.065132e+10 [-5.37, 122.98] [-5.17, 123.98] [-4.97, 124.98]
1.105808e+10 [-5.61, -91.66] [-5.41, -90.66] [-5.21, -89.66]
1.148038e+10 [-5.63, -35.88] [-5.43, -34.88] [-5.23, -33.88]
1.191880e+10 [-6.00, -73.74] [-5.80, -72.74] [-5.60, -71.74]
1.237396e+10 [-5.84, 151.08] [-5.64, 152.08] [-5.44, 153.08]
1.284651e+10 [-5.86, -84.90] [-5.66, -83.90] [-5.46, -82.90]
1.333711e+10 [-6.07, -70.47] [-5.87, -69.47] [-5.67, -68.47]
1.384643e+10 [-6.52, -162.81] [-6.32, -161.81] [-6.12, -160.81]
1.437521e+10 [-6.53, -5.97] [-6.33, -4.97] [-6.13, -3.97]
1.492419e+10 [-6.98, 28.78] [-6.78, 29.78] [-6.58, 30.78]
1.549412e+10 [-7.06, -54.92] [-6.86, -53.92] [-6.66, -52.92]
1.608583e+10 [-7.13, 90.81] [-6.93, 91.81] [-6.73, 92.81]
1.670013e+10 [-7.84, 101.40] [-7.64, 102.40] [-7.44, 103.40]
1.733789e+10 [-8.07, -15.75] [-7.87, -14.75] [-7.67, -13.75]
1.800000e+10 [-7.66, 81.62] [-7.46, 82.62] [-7.26, 83.62]
