FUNIT: Hz
UNIT: dB
1.762536e+09 [-2.06, -26.88] [-1.86, -25.88] [-1.66, -24.88]
1.829845e+09 [-2.11, -121.21] [-1.91, -120.21] [-1.71, -119.21]
1.899725e+09 [-2.13, 127.21] [-1.93, 128.21] [-1.73, 129.21]
1.972273e+09 [-2.17, -2.90] [-1.97, -1.90] [-1.77, -0.90]
2.047592e+09 [-2.21, -151.40] [-2.01, -150.40] [-1.81, -149.40]
2.125787e+09 [-2.25, 40.63] [-2.05, 41.63] [-1.85, 42.63]
2.206969e+09 [-2.30, -147.48] [-2.10, -146.48] [-1.90, -145.48]
2.291250e+09 [-2.35, 3.77] [-2.15, 4.77] [-1.95, 5.77]
2.378751e+09 [-2.36, 132.95] [-2.16, 133.95] [-1.96, 134.95]
2.469592e+09 [-2.41, -120.41] [-2.21, -119.41] [-2.01, -118.41]
2.563903e+09 [-2.47, -36.58] [-2.27, -35.58] [-2.07, -34.58]
2.661816e+09 [-2.50, 22.39] [-2.30, 23.39] [-2.10, 24.39]
2.763468e+09 [-2.53, 55.81] [-2.33, 56.81] [-2.13, 57.81]
2.869001e+09 [-2.58, 62.99] [-2.38, 63.99] [-2.18, 64.99]
2.978565e+09 [-2.65, 43.90] [-2.45, 44.90] [-2.25, 45.90]
3.092313e+09 [-2.66, -4.38] [-2.46, -3.38] [-2.26, -2.38]
3.210405e+09 [-2.75, -82.01] [-2.55, -81.01] [-2.35, -80.01]
3.333007e+09 [-2.84, 170.98] [-2.64, 171.98] [-2.44, 172.98]
3.460290e+09 [-2.86, 31.49] [-2.66, 32.49] [-2.46, 33.49]
3.592435e+09 [-2.90, -140.30] [-2.70, -139.30] [-2.50, -138.30]
3.729626e+09 [-2.93, 13.06] [-2.73, 14.06] [-2.53, 15.06]
3.872056e+09 [-3.05, 132.19] [-2.85, 133.19] [-2.65, 134.19]
4.019925e+09 [-3.05, -146.54] [-2.85, -145.54] [-2.65, -144.54]
4.173442e+09 [-3.07, -103.04] [-2.87, -102.04] [-2.67, -101.04]
4.332821e+09 [-3.29, -98.64] [-3.09, -97.64] [-2.89, -96.64]
4.498286e+09 [-3.20, -135.84] [-3.00, -134.84] [-2.80, -133.84]
4.670071e+09 [-3.36, 144.76] [-3.16, 145.76] [-2.96, 146.76]
4.848415e+09 [-3.40, 20.82] [-3.20, 21.82] [-3.00, 22.82]
5.033571e+09 [-3.38, -149.42] [-3.18, -148.42] [-2.98, -147.42]
5.225797e+09 [-3.44, -7.17] [-3.24, -6.17] [-3.04, -5.17]
5.425364e+09 [-3.56, 85.98] [-3.36, 86.98] [-3.16, 87.98]
5.632553e+09 [-3.57, 126.49] [-3.37, 127.49] [-3.17, 128.49]
5.847653e+09 [-3.63, 114.82] [-3.43, 115.82] [-3.23, 116.82]
6.070969e+09 [-3.75, 47.13] [-3.55, 48.13] [-3.35, 49.13]
6.302812e+09 [-3.81, -78.29] [-3.61, -77.29] [-3.41, -76.29]
6.543509e+09 [-3.90, 96.40] [-3.70, 97.40] [-3.50, 98.40]
6.793398e+09 [-4.04, -150.72] [-3.84, -149.72] [-3.64, -148.72]
7.052830e+09 [-4.17, -102.93] [-3.97, -101.93] [-3.77, -100.93]
7.322170e+09 [-4.32, -121.11] [-4.12, -120.11] [-3.92, -119.11]
7.601795e+09 [-4.44, 151.54] [-4.24, 152.54] [-4.04, 153.54]
7.892099e+09 [-4.51, -7.10] [-4.31, -6.10] [-4.11, -5.10]
8.193489e+09 [-4.60, 117.23] [-4.40, 118.23] [-4.20, 119.23]
8.506389e+09 [-4.64, 164.11] [-4.44, 165.11] [-4.24, 166.11]
8.831239e+09 [-4.60, 130.35] [-4.40, 131.35] [-4.20, 132.35]
9.168493e+09 [-4.64, 12.17] [-4.44, 13.17] [-4.24, 14.17]
9.518628e+09 [-4.96, 167.29] [-4.76, 168.29] [-4.56, 169.29]
9.882133e+09 [-5.33, -127.24] [-5.13, -126.24] [-4.93, -125.24]
1.025952e+10 [-5.10, -154.30] [-4.90, -153.30] [-4.70, -152.30]
1.065132e+10 [-5.04, 79.04] [-4.84, 80.04] [-4.64, 81.04]
1.105808e+10 [-5.67, -149.76] [-5.47, -148.76] [-5.27, -147.76]
1.148038e+10 [-5.65, -118.00] [-5.45, -117.00] [-5.25, -116.00]
1.191880e+10 [-5.61, 159.69] [-5.41, 160.69] [-5.21, 161.69]
1.237396e+10 [-5.58, -33.98] [-5.38, -32.98] [-5.18, -31.98]
1.284651e+10 [-6.26, 12.73] [-6.06, 13.73] [-5.86, 14.73]
1.333711e+10 [-5.80, -61.43] [-5.60, -60.43] [-5.40, -59.43]
1.384643e+10 [-6.28, 96.46] [-6.08, 97.46] [-5.88, 98.46]
1.437521e+10 [-6.14, 124.61] [-5.94, 125.61] [-5.74, 126.61]
1.492419e+10 [-6.43, 13.17] [-6.23, 14.17] [-6.03, 15.17]
1.549412e+10 [-6.45, 118.49] [-6.25, 119.49] [-6.05, 120.49]
1.608583e+10 [-6.37, 74.62] [-6.17, 75.62] [-5.97, 76.62]
1.670013e+10 [-7.45, -118.80] [-7.25, -117.80] [-7.05, -116.80]
1.733789e+10 [-7.09, -117.40] [-6.89, -116.40] [-6.69, -115.40]
1.800000e+10 [-7.24, 77.65] [-7.04, 78.65] [-6.84, 79.65]
