FUNIT: Hz
UNIT: dB
1.899725e+09 [-2.22, -146.58] [-2.02, -145.58] [-1.82, -144.58]
1.972273e+09 [-2.24, -176.82] [-2.04, -175.82] [-1.84, -174.82]
2.047592e+09 [-2.27, 138.24] [-2.07, 139.24] [-1.87, 140.24]
2.125787e+09 [-2.29, 77.76] [-2.09, 78.76] [-1.89, 79.76]
2.206969e+09 [-2.31, 1.08] [-2.11, 2.08] [-1.91, 3.08]
2.291250e+09 [-2.31, -92.17] [-2.11, -91.17] [-1.91, -90.17]
2.378751e+09 [-2.35, 157.33] [-2.15, 158.33] [-1.95, 159.33]
2.469592e+09 [-2.41, 28.49] [-2.21, 29.49] [-2.01, 30.49]
2.563903e+09 [-2.40, -118.71] [-2.20, -117.71] [-2.00, -116.71]
2.661816e+09 [-2.42, 74.62] [-2.22, 75.62] [-2.02, 76.62]
2.763468e+09 [-2.47, -112.23] [-2.27, -111.23] [-2.07, -110.23]
2.869001e+09 [-2.55, 39.89] [-2.35, 40.89] [-2.15, 41.89]
2.978565e+09 [-2.44, 170.60] [-2.24, 171.60] [-2.04, 172.60]
3.092313e+09 [-2.64, -82.81] [-2.44, -81.81] [-2.24, -80.81]
3.210405e+09 [-2.64, 4.76] [-2.44, 5.76] [-2.24, 6.76]
3.333007e+09 [-2.57, 64.58] [-2.37, 65.58] [-2.17, 66.58]
3.460290e+09 [-2.56, 99.59] [-2.36, 100.59] [-2.16, 101.59]
3.592435e+09 [-2.58, 108.70] [-2.38, 109.70] [-2.18, 110.70]
3.729626e+09 [-2.58, 90.35] [-2.38, 91.35] [-2.18, 92.35]
3.872056e+09 [-2.65, 44.09] [-2.45, 45.09] [-2.25, 46.09]
4.019925e+09 [-2.64, -31.59] [-2.44, -30.59] [-2.24, -29.59]
4.173442e+09 [-2.73, -137.99] [-2.53, -136.99] [-2.33, -135.99]
4.332821e+09 [-2.81, 84.55] [-2.61, 85.55] [-2.41, 86.55]
4.498286e+09 [-3.04, -86.26] [-2.84, -85.26] [-2.64, -84.26]
4.670071e+09 [-2.89, 70.62] [-2.69, 71.62] [-2.49, 72.62]
4.848415e+09 [-2.96, -169.46] [-2.76, -168.46] [-2.56, -167.46]
5.033571e+09 [-3.07, -85.72] [-2.87, -84.72] [-2.67, -83.72]
5.225797e+09 [-3.27, -40.58] [-3.07, -39.58] [-2.87, -38.58]
5.425364e+09 [-3.31, -34.20] [-3.11, -33.20] [-2.91, -32.20]
5.632553e+09 [-3.40, -68.75] [-3.20, -67.75] [-3.00, -66.75]
5.847653e+09 [-3.85, -146.98] [-3.65, -145.98] [-3.45, -144.98]
6.070969e+09 [-4.00, 91.73] [-3.80, 92.73] [-3.60, 93.73]
6.302812e+09 [-4.34, -72.29] [-4.14, -71.29] [-3.94, -70.29]
6.543509e+09 [-3.99, 72.17] [-3.79, 73.17] [-3.59, 74.17]
6.793398e+09 [-4.17, 166.61] [-3.97, 167.61] [-3.77, 168.61]
7.052830e+09 [-4.24, -147.27] [-4.04, -146.27] [-3.84, -145.27]
7.322170e+09 [-4.69, -155.36] [-4.49, -154.36] [-4.29, -153.36]
7.601795e+09 [-4.45, 142.10] [-4.25, 143.10] [-4.05, 144.10]
7.892099e+09 [-4.06, 19.23] [-3.86, 20.23] [-3.66, 21.23]
8.193489e+09 [-4.33, -164.45] [-4.13, -163.45] [-3.93, -162.45]
8.506389e+09 [-4.46, -47.85] [-4.26, -46.85] [-4.06, -45.85]
8.831239e+09 [-4.60, 4.65] [-4.40, 5.65] [-4.20, 6.65]
9.168493e+09 [-4.67, -15.37] [-4.47, -14.37] [-4.27, -13.37]
9.518628e+09 [-5.23, -91.93] [-5.03, -90.93] [-4.83, -89.93]
9.882133e+09 [-5.65, 106.79] [-5.45, 107.79] [-5.25, 108.79]
1.025952e+10 [-4.96, -123.47] [-4.76, -122.47] [-4.56, -121.47]
1.065132e+10 [-4.95, -70.70] [-4.75, -69.70] [-4.55, -68.70]
1.105808e+10 [-5.74, -100.50] [-5.54, -99.50] [-5.34, -98.50]
1.148038e+10 [-5.57, 149.41] [-5.37, 150.41] [-5.17, 151.41]
1.191880e+10 [-6.87, -55.01] [-6.67, -54.01] [-6.47, -53.01]
1.237396e+10 [-6.72, 25.23] [-6.52, 26.23] [-6.32, 27.23]
1.284651e+10 [-5.80, -8.51] [-5.60, -7.51] [-5.40, -6.51]
1.333711e+10 [-6.80, -128.92] [-6.60, -127.92] [-6.40, -126.92]
1.384643e+10 [-6.07, 8.14] [-5.87, 9.14] [-5.67, 10.14]
1.437521e+10 [-6.33, 35.67] [-6.13, 36.67] [-5.93, 37.67]
1.492419e+10 [-7.09, -39.02] [-6.89, -38.02] [-6.69, -37.02]
1.549412e+10 [-6.64, 128.84] [-6.44, 129.84] [-6.24, 130.84]
1.608583e+10 [-9.16, 172.00] [-8.96, 173.00] [-8.76, 174.00]
1.670013e+10 [-7.13, 106.19] [-6.93, 107.19] [-6.73, 108.19]
1.733789e+10 [-7.11, -108.63] [-6.91, -107.63] [-6.71, -106.63]
1.800000e+10 [-8.61, -84.47] [-8.41, -83.47] [-8.21, -82.47]
