FUNIT: Hz
UNIT: dB
7.727839e+08 [-0.94, -62.90] [-0.74, -61.90] [-0.54, -60.90]
8.022956e+08 [-0.96, 171.08] [-0.76, 172.08] [-0.56, 173.08]
8.329344e+08 [-0.98, 40.33] [-0.78, 41.33] [-0.58, 42.33]
8.647432e+08 [-0.99, -95.53] [-0.79, -94.53] [-0.59, -93.53]
8.977667e+08 [-1.01, 123.45] [-0.81, 124.45] [-0.61, 125.45]
9.320514e+08 [-1.02, -22.89] [-0.82, -21.89] [-0.62, -20.89]
9.676454e+08 [-1.04, -174.91] [-0.84, -173.91] [-0.64, -172.91]
1.004599e+09 [-1.06, 27.37] [-0.86, 28.37] [-0.66, 29.37]
1.042963e+09 [-1.08, -136.40] [-0.88, -135.40] [-0.68, -134.40]
1.082793e+09 [-1.10, 53.56] [-0.90, 54.56] [-0.70, 55.56]
1.124143e+09 [-1.11, -122.99] [-0.91, -121.99] [-0.71, -120.99]
1.167073e+09 [-1.13, 53.77] [-0.93, 54.77] [-0.73, 55.77]
1.211642e+09 [-1.14, -136.57] [-0.94, -135.57] [-0.74, -134.57]
1.257913e+09 [-1.17, 25.95] [-0.97, 26.95] [-0.77, 27.95]
1.305952e+09 [-1.19, -179.14] [-0.99, -178.14] [-0.79, -177.14]
1.355825e+09 [-1.21, -32.08] [-1.01, -31.08] [-0.81, -30.08]
1.407602e+09 [-1.22, 106.99] [-1.02, 107.99] [-0.82, 108.99]
1.461357e+09 [-1.25, -122.56] [-1.05, -121.56] [-0.85, -120.56]
1.517164e+09 [-1.27, -0.79] [-1.07, 0.21] [-0.87, 1.21]
1.575103e+09 [-1.29, 111.83] [-1.09, 112.83] [-0.89, 113.83]
1.635254e+09 [-1.33, -144.95] [-1.13, -143.95] [-0.93, -142.95]
1.697703e+09 [-1.34, -51.49] [-1.14, -50.49] [-0.94, -49.49]
1.762536e+09 [-1.39, 31.76] [-1.19, 32.76] [-0.99, 33.76]
1.829845e+09 [-1.40, 104.53] [-1.20, 105.53] [-1.00, 106.53]
1.899725e+09 [-1.44, 166.37] [-1.24, 167.37] [-1.04, 168.37]
1.972273e+09 [-1.44, -143.51] [-1.24, -142.51] [-1.04, -141.51]
2.047592e+09 [-1.47, -104.88] [-1.27, -103.88] [-1.07, -102.88]
2.125787e+09 [-1.50, -78.77] [-1.30, -77.77] [-1.10, -76.77]
2.206969e+09 [-1.53, -65.29] [-1.33, -64.29] [-1.13, -63.29]
2.291250e+09 [-1.56, -64.99] [-1.36, -63.99] [-1.16, -62.99]
2.378751e+09 [-1.59, -78.55] [-1.39, -77.55] [-1.19, -76.55]
2.469592e+09 [-1.62, -106.36] [-1.42, -105.36] [-1.22, -104.36]
2.563903e+09 [-1.65, -148.80] [-1.45, -147.80] [-1.25, -146.80]
2.661816e+09 [-1.68, 153.20] [-1.48, 154.20] [-1.28, 155.20]
2.763468e+09 [-1.73, 79.21] [-1.53, 80.21] [-1.33, 81.21]
2.869001e+09 [-1.86, -11.15] [-1.66, -10.15] [-1.46, -9.15]
2.978565e+09 [-1.82, -118.18] [-1.62, -117.18] [-1.42, -116.18]
3.092313e+09 [-1.77, 115.89] [-1.57, 116.89] [-1.37, 117.89]
3.210405e+09 [-1.84, -28.14] [-1.64, -27.14] [-1.44, -26.14]
3.333007e+09 [-1.87, 168.54] [-1.67, 169.54] [-1.47, 170.54]
3.460290e+09 [-1.91, -14.88] [-1.71, -13.88] [-1.51, -12.88]
3.592435e+09 [-1.95, 141.09] [-1.75, 142.09] [-1.55, 143.09]
3.729626e+09 [-2.00, -84.72] [-1.80, -83.72] [-1.60, -82.72]
3.872056e+09 [-2.09, 27.22] [-1.89, 28.22] [-1.69, 29.22]
4.019925e+09 [-2.10, 115.82] [-1.90, 116.82] [-1.70, 117.82]
4.173442e+09 [-2.30, -180.54] [-2.10, -179.54] [-1.90, -178.54]
4.332821e+09 [-2.37, -139.66] [-2.17, -138.66] [-1.97, -137.66]
4.498286e+09 [-2.63, -127.39] [-2.43, -126.39] [-2.23, -125.39]
4.670071e+09 [-2.90, -134.71] [-2.70, -133.71] [-2.50, -132.71]
4.848415e+09 [-2.46, -177.78] [-2.26, -176.78] [-2.06, -175.78]
5.033571e+09 [-2.50, 110.87] [-2.30, 111.87] [-2.10, 112.87]
5.225797e+09 [-2.67, 9.57] [-2.47, 10.57] [-2.27, 11.57]
5.425364e+09 [-2.87, -122.29] [-2.67, -121.29] [-2.47, -120.29]
5.632553e+09 [-3.18, 74.06] [-2.98, 75.06] [-2.78, 76.06]
5.847653e+09 [-3.30, -122.06] [-3.10, -121.06] [-2.90, -120.06]
6.070969e+09 [-3.31, 5.78] [-3.11, 6.78] [-2.91, 7.78]
6.302812e+09 [-3.33, 97.30] [-3.13, 98.30] [-2.93, 99.30]
6.543509e+09 [-3.10, 149.71] [-2.90, 150.71] [-2.70, 151.71]
6.793398e+09 [-3.19, 162.55] [-2.99, 163.55] [-2.79, 164.55]
7.052830e+09 [-3.30, 134.60] [-3.10, 135.60] [-2.90, 136.60]
7.322170e+09 [-3.39, 67.34] [-3.19, 68.34] [-2.99, 69.34]
7.601795e+09 [-3.39, -46.17] [-3.19, -45.17] [-2.99, -44.17]
7.892099e+09 [-3.18, 154.54] [-2.98, 155.54] [-2.78, 156.54]
8.193489e+09 [-3.19, -52.36] [-2.99, -51.36] [-2.79, -50.36]
8.506389e+09 [-3.12, 51.29] [-2.92, 52.29] [-2.72, 53.29]
8.831239e+09 [-3.23, 105.15] [-3.03, 106.15] [-2.83, 107.15]
9.168493e+09 [-3.18, 103.14] [-2.98, 104.14] [-2.78, 105.14]
9.518628e+09 [-3.45, 49.45] [-3.25, 50.45] [-3.05, 51.45]
9.882133e+09 [-3.78, -64.68] [-3.58, -63.68] [-3.38, -62.68]
1.025952e+10 [-3.69, 124.48] [-3.49, 125.48] [-3.29, 126.48]
1.065132e+10 [-3.71, -108.72] [-3.51, -107.72] [-3.31, -106.72]
1.105808e+10 [-4.14, -45.01] [-3.94, -44.01] [-3.74, -43.01]
1.148038e+10 [-4.14, -47.27] [-3.94, -46.27] [-3.74, -45.27]
1.191880e+10 [-4.17, -120.71] [-3.97, -119.71] [-3.77, -118.71]
1.237396e+10 [-4.30, 93.04] [-4.10, 94.04] [-3.90, 95.04]
1.284651e+10 [-4.97, -123.77] [-4.77, -122.77] [-4.57, -121.77]
1.333711e+10 [-5.00, -56.38] [-4.80, -55.38] [-4.60, -54.38]
1.384643e+10 [-4.25, -75.95] [-4.05, -74.95] [-3.85, -73.95]
1.437521e+10 [-4.70, -174.25] [-4.50, -173.25] [-4.30, -172.25]
1.492419e+10 [-4.47, -3.40] [-4.27, -2.40] [-4.07, -1.40]
1.549412e+10 [-4.81, 78.35] [-4.61, 79.35] [-4.41, 80.35]
1.608583e+10 [-4.87, 72.11] [-4.67, 73.11] [-4.47, 74.11]
1.670013e+10 [-5.02, -43.98] [-4.82, -42.98] [-4.62, -41.98]
1.733789e+10 [-6.83, 108.93] [-6.63, 109.93] [-6.43, 110.93]
1.800000e+10 [-7.86, 156.06] [-7.66, 157.06] [-7.46, 158.06]
