FUNIT: Hz
UNIT: dB
2.378751e+09 [-2.72, -51.68] [-2.52, -50.68] [-2.32, -49.68]
2.469592e+09 [-2.76, 102.91] [-2.56, 103.91] [-2.36, 104.91]
2.563903e+09 [-2.74, -124.07] [-2.54, -123.07] [-2.34, -122.07]
2.661816e+09 [-2.79, -13.42] [-2.59, -12.42] [-2.39, -11.42]
2.763468e+09 [-2.85, 74.03] [-2.65, 75.03] [-2.45, 76.03]
2.869001e+09 [-2.86, 136.96] [-2.66, 137.96] [-2.46, 138.96]
2.978565e+09 [-2.81, 174.78] [-2.61, 175.78] [-2.41, 176.78]
3.092313e+09 [-3.05, -174.45] [-2.85, -173.45] [-2.65, -172.45]
3.210405e+09 [-3.08, 173.33] [-2.88, 174.33] [-2.68, 175.33]
3.333007e+09 [-2.99, 129.89] [-2.79, 130.89] [-2.59, 131.89]
3.460290e+09 [-3.00, 57.44] [-2.80, 58.44] [-2.60, 59.44]
3.592435e+09 [-3.03, -45.05] [-2.83, -44.05] [-2.63, -43.05]
3.729626e+09 [-3.02, -179.06] [-2.82, -178.06] [-2.62, -177.06]
3.872056e+09 [-3.10, 14.25] [-2.90, 15.25] [-2.70, 16.25]
4.019925e+09 [-3.13, 173.90] [-2.93, 174.90] [-2.73, 175.90]
4.173442e+09 [-3.18, -61.98] [-2.98, -60.98] [-2.78, -59.98]
4.332821e+09 [-3.32, 25.84] [-3.12, 26.84] [-2.92, 27.84]
4.498286e+09 [-3.49, 75.43] [-3.29, 76.43] [-3.09, 77.43]
4.670071e+09 [-3.49, 87.50] [-3.29, 88.50] [-3.09, 89.50]
4.848415e+09 [-3.45, 56.99] [-3.25, 57.99] [-3.05, 58.99]
5.033571e+09 [-3.56, -15.38] [-3.36, -14.38] [-3.16, -13.38]
5.225797e+09 [-3.73, -132.45] [-3.53, -131.45] [-3.33, -130.45]
5.425364e+09 [-3.81, 65.28] [-3.61, 66.28] [-3.41, 67.28]
5.632553e+09 [-3.89, -143.90] [-3.69, -142.90] [-3.49, -141.90]
5.847653e+09 [-4.24, -43.30] [-4.04, -42.30] [-3.84, -41.30]
6.070969e+09 [-4.30, 6.52] [-4.10, 7.52] [-3.90, 8.52]
6.302812e+09 [-4.60, 5.55] [-4.40, 6.55] [-4.20, 7.55]
6.543509e+09 [-4.34, -53.39] [-4.14, -52.39] [-3.94, -51.39]
6.793398e+09 [-4.64, -170.50] [-4.44, -169.50] [-4.24, -168.50]
7.052830e+09 [-4.81, 16.55] [-4.61, 17.55] [-4.41, 18.55]
7.322170e+09 [-5.38, 141.53] [-5.18, 142.53] [-4.98, 143.53]
7.601795e+09 [-5.16, -156.56] [-4.96, -155.56] [-4.76, -154.56]
7.892099e+09 [-4.78, -164.79] [-4.58, -163.79] [-4.38, -162.79]
8.193489e+09 [-5.10, 117.61] [-4.90, 118.61] [-4.70, 119.61]
8.506389e+09 [-5.21, -29.37] [-5.01, -28.37] [-4.81, -27.37]
8.831239e+09 [-5.51, 109.04] [-5.31, 110.04] [-5.11, 111.04]
9.168493e+09 [-5.51, 164.61] [-5.31, 165.61] [-5.11, 166.61]
9.518628e+09 [-5.89, 151.63] [-5.69, 152.63] [-5.49, 153.63]
9.882133e+09 [-6.52, 43.99] [-6.32, 44.99] [-6.12, 45.99]
1.025952e+10 [-5.78, -144.65] [-5.58, -143.65] [-5.38, -142.65]
1.065132e+10 [-5.78, -62.33] [-5.58, -61.33] [-5.38, -60.33]
1.105808e+10 [-6.63, -75.34] [-6.43, -74.34] [-6.23, -73.34]
1.148038e+10 [-6.46, 178.23] [-6.26, 179.23] [-6.06, 180.23]
1.191880e+10 [-7.66, -35.17] [-7.46, -34.17] [-7.26, -33.17]
1.237396e+10 [-7.52, 19.56] [-7.32, 20.56] [-7.12, 21.56]
1.284651e+10 [-6.65, -52.53] [-6.45, -51.53] [-6.25, -50.53]
1.333711e+10 [-7.69, 131.72] [-7.49, 132.72] [-7.29, 133.72]
1.384643e+10 [-7.03, -160.16] [-6.83, -159.16] [-6.63, -158.16]
1.437521e+10 [-7.23, 141.50] [-7.03, 142.50] [-6.83, 143.50]
1.492419e+10 [-7.99, -36.13] [-7.79, -35.13] [-7.59, -34.13]
1.549412e+10 [-7.60, 11.15] [-7.40, 12.15] [-7.20, 13.15]
1.608583e+10 [-10.31, -87.28] [-10.11, -86.28] [-9.91, -85.28]
1.670013e+10 [-8.28, 51.49] [-8.08, 52.49] [-7.88, 53.49]
1.733789e+10 [-7.94, 18.55] [-7.74, 19.55] [-7.54, 20.55]
1.800000e+10 [-9.43, -153.52] [-9.23, -152.52] [-9.03, -151.52]
