FUNIT: Hz
UNIT: dB
2.125787e+09 [-2.00, -176.64] [-1.80, -175.64] [-1.60, -174.64]
2.206969e+09 [-2.04, 83.23] [-1.84, 84.23] [-1.64, 85.23]
2.291250e+09 [-2.09, -34.48] [-1.89, -33.48] [-1.69, -32.48]
2.378751e+09 [-2.12, -170.38] [-1.92, -169.38] [-1.72, -168.38]
2.469592e+09 [-2.15, 34.57] [-1.95, 35.57] [-1.75, 36.57]
2.563903e+09 [-2.22, -140.09] [-2.02, -139.09] [-1.82, -138.09]
2.661816e+09 [-2.26, 25.09] [-2.06, 26.09] [-1.86, 27.09]
2.763468e+09 [-2.27, 168.91] [-2.07, 169.91] [-1.87, 170.91]
2.869001e+09 [-2.38, -69.39] [-2.18, -68.39] [-1.98, -67.39]
2.978565e+09 [-2.39, 30.15] [-2.19, 31.15] [-1.99, 32.15]
3.092313e+09 [-2.41, 105.04] [-2.21, 106.04] [-2.01, 107.04]
3.210405e+09 [-2.46, 155.81] [-2.26, 156.81] [-2.06, 157.81]
3.333007e+09 [-2.50, -179.02] [-2.30, -178.02] [-2.10, -177.02]
3.460290e+09 [-2.55, -180.61] [-2.35, -179.61] [-2.15, -178.61]
3.592435e+09 [-2.58, 150.57] [-2.38, 151.57] [-2.18, 152.57]
3.729626e+09 [-2.61, 92.82] [-2.41, 93.82] [-2.21, 94.82]
3.872056e+09 [-2.69, 5.68] [-2.49, 6.68] [-2.29, 7.68]
4.019925e+09 [-2.73, -112.57] [-2.53, -111.57] [-2.33, -110.57]
4.173442e+09 [-2.79, 97.52] [-2.59, 98.52] [-2.39, 99.52]
4.332821e+09 [-2.85, -86.39] [-2.65, -85.39] [-2.45, -84.39]
4.498286e+09 [-2.89, 56.17] [-2.69, 57.17] [-2.49, 58.17]
4.670071e+09 [-3.10, 162.95] [-2.90, 163.95] [-2.70, 164.95]
4.848415e+09 [-3.03, -128.60] [-2.83, -127.60] [-2.63, -126.60]
5.033571e+09 [-3.08, -97.71] [-2.88, -96.71] [-2.68, -95.71]
5.225797e+09 [-3.14, -107.10] [-2.94, -106.10] [-2.74, -105.10]
5.425364e+09 [-3.22, -158.62] [-3.02, -157.62] [-2.82, -156.62]
5.632553e+09 [-3.28, 106.80] [-3.08, 107.80] [-2.88, 108.80]
5.847653e+09 [-3.32, -32.04] [-3.12, -31.04] [-2.92, -30.04]
6.070969e+09 [-3.42, 142.37] [-3.22, 143.37] [-3.02, 144.37]
6.302812e+09 [-3.53, -92.44] [-3.33, -91.44] [-3.13, -90.44]
6.543509e+09 [-3.68, -16.50] [-3.48, -15.50] [-3.28, -14.50]
6.793398e+09 [-3.73, 6.83] [-3.53, 7.83] [-3.33, 8.83]
7.052830e+09 [-3.91, -23.73] [-3.71, -22.73] [-3.51, -21.73]
7.322170e+09 [-4.12, -109.99] [-3.92, -108.99] [-3.72, -107.99]
7.601795e+09 [-4.22, 106.48] [-4.02, 107.48] [-3.82, 108.48]
7.892099e+09 [-4.28, -98.47] [-4.08, -97.47] [-3.88, -96.47]
8.193489e+09 [-4.23, -7.20] [-4.03, -6.20] [-3.83, -5.20]
8.506389e+09 [-4.20, 18.99] [-4.00, 19.99] [-3.80, 20.99]
8.831239e+09 [-4.19, -23.87] [-3.99, -22.87] [-3.79, -21.87]
9.168493e+09 [-4.40, -136.47] [-4.20, -135.47] [-4.00, -134.47]
9.518628e+09 [-4.47, 38.91] [-4.27, 39.91] [-4.07, 40.91]
9.882133e+09 [-4.68, 139.51] [-4.48, 140.51] [-4.28, 141.51]
1.025952e+10 [-4.72, 158.69] [-4.52, 159.69] [-4.32, 160.69]
1.065132e+10 [-5.08, 97.48] [-4.88, 98.48] [-4.68, 99.48]
1.105808e+10 [-5.30, -47.34] [-5.10, -46.34] [-4.90, -45.34]
1.148038e+10 [-5.27, 79.58] [-5.07, 80.58] [-4.87, 81.58]
1.191880e+10 [-5.58, 111.51] [-5.38, 112.51] [-5.18, 113.51]
1.237396e+10 [-5.29, 51.09] [-5.09, 52.09] [-4.89, 53.09]
