FUNIT: Hz
UNIT: dB
1.167073e+09 [-22.70, -61.65] [-22.50, -60.65] [-22.30, -59.65]
1.211642e+09 [-22.73, -75.15] [-22.53, -74.15] [-22.33, -73.15]
1.257913e+09 [-22.81, -102.20] [-22.61, -101.20] [-22.41, -100.20]
1.305952e+09 [-22.82, -144.82] [-22.62, -143.82] [-22.42, -142.82]
1.355825e+09 [-22.87, 157.88] [-22.67, 158.88] [-22.47, 159.88]
1.407602e+09 [-22.96, 84.11] [-22.76, 85.11] [-22.56, 86.11]
1.461357e+09 [-22.96, -5.90] [-22.76, -4.90] [-22.56, -3.90]
1.517164e+09 [-23.02, -113.06] [-22.82, -112.06] [-22.62, -111.06]
1.575103e+09 [-23.10, 121.43] [-22.90, 122.43] [-22.70, 123.43]
1.635254e+09 [-23.10, -22.06] [-22.90, -21.06] [-22.70, -20.06]
1.697703e+09 [-23.15, 175.24] [-22.95, 176.24] [-22.75, 177.24]
1.762536e+09 [-23.28, -7.59] [-23.08, -6.59] [-22.88, -5.59]
1.829845e+09 [-23.32, 148.62] [-23.12, 149.62] [-22.92, 150.62]
1.899725e+09 [-23.33, -76.61] [-23.13, -75.61] [-22.93, -74.61]
1.972273e+09 [-23.37, 36.01] [-23.17, 37.01] [-22.97, 38.01]
2.047592e+09 [-23.41, 125.54] [-23.21, 126.54] [-23.01, 127.54]
2.125787e+09 [-23.50, -169.07] [-23.30, -168.07] [-23.10, -167.07]
2.206969e+09 [-23.59, -128.66] [-23.39, -127.66] [-23.19, -126.66]
2.291250e+09 [-23.65, -114.36] [-23.45, -113.36] [-23.25, -112.36]
2.378751e+09 [-23.76, -126.65] [-23.56, -125.65] [-23.36, -124.65]
2.469592e+09 [-23.75, -167.57] [-23.55, -166.57] [-23.35, -165.57]
2.563903e+09 [-23.82, 123.10] [-23.62, 124.10] [-23.42, 125.10]
2.661816e+09 [-23.88, 22.18] [-23.68, 23.18] [-23.48, 24.18]
2.763468e+09 [-24.10, -108.57] [-23.90, -107.57] [-23.70, -106.57]
2.869001e+09 [-24.26, 88.11] [-24.06, 89.11] [-23.86, 90.11]
2.978565e+09 [-24.21, -107.85] [-24.01, -106.85] [-23.81, -105.85]
3.092313e+09 [-24.30, 17.57] [-24.10, 18.57] [-23.90, 19.57]
3.210405e+09 [-24.54, 110.28] [-24.34, 111.28] [-24.14, 112.28]
3.333007e+09 [-24.46, 164.61] [-24.26, 165.61] [-24.06, 166.61]
3.460290e+09 [-24.85, 177.75] [-24.65, 178.75] [-24.45, 179.75]
3.592435e+09 [-24.63, 153.01] [-24.43, 154.01] [-24.23, 155.01]
3.729626e+09 [-25.10, 84.94] [-24.90, 85.94] [-24.70, 86.94]
3.872056e+09 [-25.03, -29.63] [-24.83, -28.63] [-24.63, -27.63]
4.019925e+09 [-24.82, 174.18] [-24.62, 175.18] [-24.42, 176.18]
4.173442e+09 [-25.02, -29.33] [-24.82, -28.33] [-24.62, -27.33]
4.332821e+09 [-25.30, 76.83] [-25.10, 77.83] [-24.90, 78.83]
4.498286e+09 [-25.63, 130.98] [-25.43, 131.98] [-25.23, 132.98]
4.670071e+09 [-25.77, 131.66] [-25.57, 132.66] [-25.37, 133.66]
4.848415e+09 [-25.84, 78.53] [-25.64, 79.53] [-25.44, 80.53]
5.033571e+09 [-25.90, -31.44] [-25.70, -30.44] [-25.50, -29.44]
5.225797e+09 [-26.15, 159.59] [-25.95, 160.59] [-25.75, 161.59]
5.425364e+09 [-26.54, -68.39] [-26.34, -67.39] [-26.14, -66.39]
5.632553e+09 [-26.34, -0.29] [-26.14, 0.71] [-25.94, 1.71]
5.847653e+09 [-26.50, -1.03] [-26.30, -0.03] [-26.10, 0.97]
6.070969e+09 [-26.03, -70.10] [-25.83, -69.10] [-25.63, -68.10]
6.302812e+09 [-26.16, 149.56] [-25.96, 150.56] [-25.76, 151.56]
6.543509e+09 [-26.60, -64.64] [-26.40, -63.64] [-26.20, -62.64]
6.793398e+09 [-26.38, 1.84] [-26.18, 2.84] [-25.98, 3.84]
7.052830e+09 [-26.68, -10.67] [-26.48, -9.67] [-26.28, -8.67]
7.322170e+09 [-26.77, -103.67] [-26.57, -102.67] [-26.37, -101.67]
7.601795e+09 [-26.58, 74.99] [-26.38, 75.99] [-26.18, 76.99]
7.892099e+09 [-26.98, 162.43] [-26.78, 163.43] [-26.58, 164.43]
8.193489e+09 [-26.92, 161.62] [-26.72, 162.62] [-26.52, 163.62]
8.506389e+09 [-27.29, 63.18] [-27.09, 64.18] [-26.89, 65.18]
8.831239e+09 [-27.22, -135.45] [-27.02, -134.45] [-26.82, -133.45]
