FUNIT: Hz
UNIT: dB
1.167073e+09 [-1.04, 99.67] [-0.84, 100.67] [-0.64, 101.67]
1.211642e+09 [-1.06, -33.87] [-0.86, -32.87] [-0.66, -31.87]
1.257913e+09 [-1.07, -172.48] [-0.87, -171.48] [-0.67, -170.48]
1.305952e+09 [-1.09, 43.60] [-0.89, 44.60] [-0.69, 45.60]
1.355825e+09 [-1.11, -105.84] [-0.91, -104.84] [-0.71, -103.84]
1.407602e+09 [-1.13, 99.09] [-0.93, 100.09] [-0.73, 101.09]
1.461357e+09 [-1.15, -61.93] [-0.95, -60.93] [-0.75, -59.93]
1.517164e+09 [-1.17, 130.86] [-0.97, 131.86] [-0.77, 132.86]
1.575103e+09 [-1.19, -42.74] [-0.99, -41.74] [-0.79, -40.74]
1.635254e+09 [-1.20, 137.08] [-1.00, 138.08] [-0.80, 139.08]
1.697703e+09 [-1.22, -49.97] [-1.02, -48.97] [-0.82, -47.97]
1.762536e+09 [-1.25, 115.87] [-1.05, 116.87] [-0.85, 117.87]
1.829845e+09 [-1.27, -85.82] [-1.07, -84.82] [-0.87, -83.82]
1.899725e+09 [-1.29, 64.95] [-1.09, 65.95] [-0.89, 66.95]
1.972273e+09 [-1.31, -152.44] [-1.11, -151.44] [-0.91, -150.44]
2.047592e+09 [-1.33, -18.10] [-1.13, -17.10] [-0.93, -16.10]
2.125787e+09 [-1.36, 107.75] [-1.16, 108.75] [-0.96, 109.75]
2.206969e+09 [-1.39, -135.47] [-1.19, -134.47] [-0.99, -133.47]
2.291250e+09 [-1.41, -27.90] [-1.21, -26.90] [-1.01, -25.90]
2.378751e+09 [-1.44, 70.02] [-1.24, 71.02] [-1.04, 72.02]
2.469592e+09 [-1.46, 157.96] [-1.26, 158.96] [-1.06, 159.96]
2.563903e+09 [-1.49, -124.54] [-1.29, -123.54] [-1.09, -122.54]
2.661816e+09 [-1.52, -57.66] [-1.32, -56.66] [-1.12, -55.66]
2.763468e+09 [-1.54, -2.18] [-1.34, -1.18] [-1.14, -0.18]
2.869001e+09 [-1.57, 41.59] [-1.37, 42.59] [-1.17, 43.59]
2.978565e+09 [-1.59, 73.55] [-1.39, 74.55] [-1.19, 75.55]
3.092313e+09 [-1.61, 92.82] [-1.41, 93.82] [-1.21, 94.82]
3.210405e+09 [-1.65, 99.18] [-1.45, 100.18] [-1.25, 101.18]
3.333007e+09 [-1.69, 91.79] [-1.49, 92.79] [-1.29, 93.79]
3.460290e+09 [-1.73, 70.67] [-1.53, 71.67] [-1.33, 72.67]
3.592435e+09 [-1.78, 35.05] [-1.58, 36.05] [-1.38, 37.05]
3.729626e+09 [-1.80, -15.83] [-1.60, -14.83] [-1.40, -13.83]
