FUNIT: Hz
UNIT: dB
1.167073e+09 [-1.60, -155.88] [-1.40, -154.88] [-1.20, -153.88]
1.211642e+09 [-1.64, -35.38] [-1.44, -34.38] [-1.24, -33.38]
1.257913e+09 [-1.66, 76.02] [-1.46, 77.02] [-1.26, 78.02]
1.305952e+09 [-1.69, 177.87] [-1.49, 178.87] [-1.29, 179.87]
1.355825e+09 [-1.72, -90.02] [-1.52, -89.02] [-1.32, -88.02]
1.407602e+09 [-1.74, -8.11] [-1.54, -7.11] [-1.34, -6.11]
1.461357e+09 [-1.79, 63.08] [-1.59, 64.08] [-1.39, 65.08]
1.517164e+09 [-1.82, 123.23] [-1.62, 124.23] [-1.42, 125.23]
1.575103e+09 [-1.84, 171.93] [-1.64, 172.93] [-1.44, 173.93]
1.635254e+09 [-1.88, -151.16] [-1.68, -150.16] [-1.48, -149.16]
1.697703e+09 [-1.91, -126.61] [-1.71, -125.61] [-1.51, -124.61]
1.762536e+09 [-1.95, -114.92] [-1.75, -113.92] [-1.55, -112.92]
1.829845e+09 [-1.98, -116.59] [-1.78, -115.59] [-1.58, -114.59]
1.899725e+09 [-2.03, -131.75] [-1.83, -130.75] [-1.63, -129.75]
1.972273e+09 [-2.04, -161.67] [-1.84, -160.67] [-1.64, -159.67]
2.047592e+09 [-2.10, 153.66] [-1.90, 154.66] [-1.70, 155.66]
2.125787e+09 [-2.12, 93.77] [-1.92, 94.77] [-1.72, 95.77]
2.206969e+09 [-2.22, 17.62] [-2.02, 18.62] [-1.82, 19.62]
2.291250e+09 [-2.21, -75.04] [-2.01, -74.04] [-1.81, -73.04]
2.378751e+09 [-2.30, 175.03] [-2.10, 176.03] [-1.90, 177.03]
2.469592e+09 [-2.28, 46.98] [-2.08, 47.98] [-1.88, 48.98]
2.563903e+09 [-2.37, -99.60] [-2.17, -98.60] [-1.97, -97.60]
2.661816e+09 [-2.40, 94.65] [-2.20, 95.65] [-2.00, 96.65]
2.763468e+09 [-2.42, -91.39] [-2.22, -90.39] [-2.02, -89.39]
2.869001e+09 [-2.48, 61.29] [-2.28, 62.29] [-2.08, 63.29]
2.978565e+09 [-2.55, -166.79] [-2.35, -165.79] [-2.15, -164.79]
3.092313e+09 [-2.54, -57.89] [-2.34, -56.89] [-2.14, -55.89]
3.210405e+09 [-2.62, 27.86] [-2.42, 28.86] [-2.22, 29.86]
3.333007e+09 [-2.75, 89.71] [-2.55, 90.71] [-2.35, 91.71]
3.460290e+09 [-2.71, 125.36] [-2.51, 126.36] [-2.31, 127.36]
3.592435e+09 [-2.79, 135.69] [-2.59, 136.69] [-2.39, 137.69]
