FUNIT: Hz
UNIT: dB
2.378751e+09 [-23.65, -75.23] [-23.45, -74.23] [-23.25, -73.23]
2.469592e+09 [-23.67, -45.15] [-23.47, -44.15] [-23.27, -43.15]
2.563903e+09 [-23.68, -41.08] [-23.48, -40.08] [-23.28, -39.08]
2.661816e+09 [-23.67, -65.76] [-23.47, -64.76] [-23.27, -63.76]
2.763468e+09 [-23.87, -118.84] [-23.67, -117.84] [-23.47, -116.84]
2.869001e+09 [-24.17, 160.29] [-23.97, 161.29] [-23.77, 162.29]
2.978565e+09 [-24.24, 50.51] [-24.04, 51.51] [-23.84, 52.51]
3.092313e+09 [-23.98, -95.75] [-23.78, -94.75] [-23.58, -93.75]
3.210405e+09 [-24.44, 87.76] [-24.24, 88.76] [-24.04, 89.76]
3.333007e+09 [-24.37, -120.40] [-24.17, -119.40] [-23.97, -118.40]
3.460290e+09 [-24.69, -10.55] [-24.49, -9.55] [-24.29, -8.55]
3.592435e+09 [-24.48, 70.45] [-24.28, 71.45] [-24.08, 72.45]
3.729626e+09 [-25.23, 106.55] [-25.03, 107.55] [-24.83, 108.55]
3.872056e+09 [-24.78, 102.34] [-24.58, 103.34] [-24.38, 104.34]
4.019925e+09 [-24.59, 63.07] [-24.39, 64.07] [-24.19, 65.07]
4.173442e+09 [-24.94, -21.23] [-24.74, -20.23] [-24.54, -19.23]
4.332821e+09 [-25.25, -151.70] [-25.05, -150.70] [-24.85, -149.70]
4.498286e+09 [-25.56, 31.14] [-25.36, 32.14] [-25.16, 33.14]
4.670071e+09 [-25.81, 165.46] [-25.61, 166.46] [-25.41, 167.46]
4.848415e+09 [-25.99, -107.93] [-25.79, -106.93] [-25.59, -105.93]
5.033571e+09 [-25.95, -72.02] [-25.75, -71.02] [-25.55, -70.02]
5.225797e+09 [-25.62, -91.91] [-25.42, -90.91] [-25.22, -89.91]
5.425364e+09 [-26.17, -169.72] [-25.97, -168.72] [-25.77, -167.72]
5.632553e+09 [-26.57, 63.83] [-26.37, 64.83] [-26.17, 65.83]
5.847653e+09 [-25.98, -131.71] [-25.78, -130.71] [-25.58, -129.71]
6.070969e+09 [-25.95, -23.50] [-25.75, -22.50] [-25.55, -21.50]
6.302812e+09 [-26.41, 13.92] [-26.21, 14.92] [-26.01, 15.92]
6.543509e+09 [-26.34, -15.91] [-26.14, -14.91] [-25.94, -13.91]
6.793398e+09 [-25.88, -112.71] [-25.68, -111.71] [-25.48, -110.71]
7.052830e+09 [-26.25, 75.08] [-26.05, 76.08] [-25.85, 77.08]
7.322170e+09 [-26.61, -168.69] [-26.41, -167.69] [-26.21, -166.69]
7.601795e+09 [-26.76, -129.38] [-26.56, -128.38] [-26.36, -127.38]
7.892099e+09 [-26.39, -173.05] [-26.19, -172.05] [-25.99, -171.05]
8.193489e+09 [-27.20, 56.55] [-27.00, 57.55] [-26.80, 58.55]
8.506389e+09 [-26.66, -158.00] [-26.46, -157.00] [-26.26, -156.00]
8.831239e+09 [-26.67, -100.54] [-26.47, -99.54] [-26.27, -98.54]
9.168493e+09 [-26.80, -143.24] [-26.60, -142.24] [-26.40, -141.24]
9.518628e+09 [-26.66, 74.60] [-26.46, 75.60] [-26.26, 76.60]
9.882133e+09 [-26.81, -167.83] [-26.61, -166.83] [-26.41, -165.83]
1.025952e+10 [-26.92, -152.53] [-26.72, -151.53] [-26.52, -150.53]
1.065132e+10 [-27.34, 110.71] [-27.14, 111.71] [-26.94, 112.71]
1.105808e+10 [-27.07, -97.94] [-26.87, -96.94] [-26.67, -95.94]
1.148038e+10 [-27.11, -63.33] [-26.91, -62.33] [-26.71, -61.33]
1.191880e+10 [-27.51, -155.80] [-27.31, -154.80] [-27.11, -153.80]
1.237396e+10 [-27.43, -12.33] [-27.23, -11.33] [-27.03, -10.33]
1.284651e+10 [-27.33, -0.24] [-27.13, 0.76] [-26.93, 1.76]
1.333711e+10 [-27.47, -129.97] [-27.27, -128.97] [-27.07, -127.97]
1.384643e+10 [-27.55, -39.60] [-27.35, -38.60] [-27.15, -37.60]
1.437521e+10 [-28.26, -100.98] [-28.06, -99.98] [-27.86, -98.98]
1.492419e+10 [-28.19, 53.02] [-27.99, 54.02] [-27.79, 55.02]
1.549412e+10 [-29.06, 34.21] [-28.86, 35.21] [-28.66, 36.21]
1.608583e+10 [-29.26, -144.61] [-29.06, -143.61] [-28.86, -142.61]
1.670013e+10 [-29.84, -129.53] [-29.64, -128.53] [-29.44, -127.53]
1.733789e+10 [-29.03, 62.14] [-28.83, 63.14] [-28.63, 64.14]
1.800000e+10 [-30.46, 72.14] [-30.26, 73.14] [-30.06, 74.14]
