FUNIT: Hz
UNIT: dB
8.915050e+09 [-9.97, -120.92] [-9.77, -119.92] [-9.57, -118.92]
9.005000e+09 [-10.05, -34.44] [-9.85, -33.44] [-9.65, -32.44]
9.094950e+09 [-10.18, 51.85] [-9.98, 52.85] [-9.78, 53.85]
9.184900e+09 [-10.31, 137.70] [-10.11, 138.70] [-9.91, 139.70]
9.274850e+09 [-10.42, -136.07] [-10.22, -135.07] [-10.02, -134.07]
9.364800e+09 [-10.54, -49.53] [-10.34, -48.53] [-10.14, -47.53]
9.454750e+09 [-10.73, 37.12] [-10.53, 38.12] [-10.33, 39.12]
9.544700e+09 [-10.97, 122.97] [-10.77, 123.97] [-10.57, 124.97]
9.634650e+09 [-11.11, -151.21] [-10.91, -150.21] [-10.71, -149.21]
9.724600e+09 [-11.17, -64.89] [-10.97, -63.89] [-10.77, -62.89]
9.814550e+09 [-11.31, 22.47] [-11.11, 23.47] [-10.91, 24.47]
9.904500e+09 [-11.61, 109.50] [-11.41, 110.50] [-11.21, 111.50]
9.994450e+09 [-11.88, -163.90] [-11.68, -162.90] [-11.48, -161.90]
1.008440e+10 [-11.93, -78.13] [-11.73, -77.13] [-11.53, -76.13]
1.017435e+10 [-11.97, 8.07] [-11.77, 9.07] [-11.57, 10.07]
1.026430e+10 [-12.03, 95.55] [-11.83, 96.55] [-11.63, 97.55]
1.035425e+10 [-12.27, -177.15] [-12.07, -176.15] [-11.87, -175.15]
1.044420e+10 [-12.45, -91.03] [-12.25, -90.03] [-12.05, -89.03]
1.053415e+10 [-12.50, -5.41] [-12.30, -4.41] [-12.10, -3.41]
1.062410e+10 [-12.60, 80.30] [-12.40, 81.30] [-12.20, 82.30]
1.071405e+10 [-12.70, 166.67] [-12.50, 167.67] [-12.30, 168.67]
1.080400e+10 [-12.90, -107.14] [-12.70, -106.14] [-12.50, -105.14]
1.089395e+10 [-13.07, -21.04] [-12.87, -20.04] [-12.67, -19.04]
1.098390e+10 [-13.28, 64.86] [-13.08, 65.86] [-12.88, 66.86]
1.107385e+10 [-13.55, 151.07] [-13.35, 152.07] [-13.15, 153.07]
1.116380e+10 [-13.88, -123.32] [-13.68, -122.32] [-13.48, -121.32]
1.125375e+10 [-14.06, -37.87] [-13.86, -36.87] [-13.66, -35.87]
1.134370e+10 [-14.27, 49.24] [-14.07, 50.24] [-13.87, 51.24]
1.143365e+10 [-14.52, 135.95] [-14.32, 136.95] [-14.12, 137.95]
1.152360e+10 [-14.86, -137.72] [-14.66, -136.72] [-14.46, -135.72]
1.161355e+10 [-15.18, -50.58] [-14.98, -49.58] [-14.78, -48.58]
1.170350e+10 [-15.55, 35.04] [-15.35, 36.04] [-15.15, 37.04]
1.179345e+10 [-15.57, 122.02] [-15.37, 123.02] [-15.17, 124.02]
1.188340e+10 [-15.79, -150.79] [-15.59, -149.79] [-15.39, -148.79]
1.197335e+10 [-16.10, -63.78] [-15.90, -62.78] [-15.70, -61.78]
1.206330e+10 [-16.43, 22.39] [-16.23, 23.39] [-16.03, 24.39]
1.215325e+10 [-16.54, 110.27] [-16.34, 111.27] [-16.14, 112.27]
1.224320e+10 [-16.65, -163.38] [-16.45, -162.38] [-16.25, -161.38]
1.233315e+10 [-16.73, -76.76] [-16.53, -75.76] [-16.33, -74.76]
1.242310e+10 [-16.75, 9.05] [-16.55, 10.05] [-16.35, 11.05]
1.251305e+10 [-16.95, 94.77] [-16.75, 95.77] [-16.55, 96.77]
1.260300e+10 [-17.15, -179.52] [-16.95, -178.52] [-16.75, -177.52]
1.269295e+10 [-17.33, -94.18] [-17.13, -93.18] [-16.93, -92.18]
1.278290e+10 [-17.61, -9.06] [-17.41, -8.06] [-17.21, -7.06]
1.287285e+10 [-17.94, 76.29] [-17.74, 77.29] [-17.54, 78.29]
1.296280e+10 [-18.40, 161.64] [-18.20, 162.64] [-18.00, 163.64]
1.305275e+10 [-18.75, -112.26] [-18.55, -111.26] [-18.35, -110.26]
1.314270e+10 [-19.03, -26.46] [-18.83, -25.46] [-18.63, -24.46]
1.323265e+10 [-19.48, 59.24] [-19.28, 60.24] [-19.08, 61.24]
1.332260e+10 [-19.93, 144.85] [-19.73, 145.85] [-19.53, 146.85]
1.341255e+10 [-20.67, -130.85] [-20.47, -129.85] [-20.27, -128.85]
1.350250e+10 [-23.40, -30.65] [-23.20, -29.65] [-23.00, -28.65]
1.359245e+10 [-20.80, 53.77] [-20.60, 54.77] [-20.40, 55.77]
1.368240e+10 [-21.02, 138.11] [-20.82, 139.11] [-20.62, 140.11]
1.377235e+10 [-21.45, -136.06] [-21.25, -135.06] [-21.05, -134.06]
1.386230e+10 [-21.86, -49.67] [-21.66, -48.67] [-21.46, -47.67]
1.395225e+10 [-22.05, 37.00] [-21.85, 38.00] [-21.65, 39.00]
1.404220e+10 [-22.21, 123.38] [-22.01, 124.38] [-21.81, 125.38]
1.413215e+10 [-22.54, -150.84] [-22.34, -149.84] [-22.14, -148.84]
1.422210e+10 [-22.85, -64.58] [-22.65, -63.58] [-22.45, -62.58]
1.431205e+10 [-23.17, 22.51] [-22.97, 23.51] [-22.77, 24.51]
1.440200e+10 [-23.47, 109.08] [-23.27, 110.08] [-23.07, 111.08]
1.449195e+10 [-23.62, -164.93] [-23.42, -163.93] [-23.22, -162.93]
1.458190e+10 [-23.88, -78.72] [-23.68, -77.72] [-23.48, -76.72]
1.467185e+10 [-24.29, 6.77] [-24.09, 7.77] [-23.89, 8.77]
1.476180e+10 [-24.63, 92.61] [-24.43, 93.61] [-24.23, 94.61]
1.485175e+10 [-25.03, -180.66] [-24.83, -179.66] [-24.63, -178.66]
1.494170e+10 [-25.28, -93.92] [-25.08, -92.92] [-24.88, -91.92]
1.503165e+10 [-25.67, -8.06] [-25.47, -7.06] [-25.27, -6.06]
1.512160e+10 [-26.01, 77.55] [-25.81, 78.55] [-25.61, 79.55]
1.521155e+10 [-26.42, 163.28] [-26.22, 164.28] [-26.02, 165.28]
1.530150e+10 [-26.78, -109.28] [-26.58, -108.28] [-26.38, -107.28]
1.539145e+10 [-27.17, -22.90] [-26.97, -21.90] [-26.77, -20.90]
1.548140e+10 [-27.60, 63.56] [-27.40, 64.56] [-27.20, 65.56]
1.557135e+10 [-27.97, 149.21] [-27.77, 150.21] [-27.57, 151.21]
1.566130e+10 [-28.51, -124.17] [-28.31, -123.17] [-28.11, -122.17]
1.575125e+10 [-28.87, -37.19] [-28.67, -36.19] [-28.47, -35.19]
1.584120e+10 [-29.23, 50.02] [-29.03, 51.02] [-28.83, 52.02]
1.593115e+10 [-29.56, 135.96] [-29.36, 136.96] [-29.16, 137.96]
1.602110e+10 [-29.95, -137.93] [-29.75, -136.93] [-29.55, -135.93]
1.611105e+10 [-30.34, -51.14] [-30.14, -50.14] [-29.94, -49.14]
1.620100e+10 [-30.80, 35.44] [-30.60, 36.44] [-30.40, 37.44]
1.629095e+10 [-31.12, 121.66] [-30.92, 122.66] [-30.72, 123.66]
1.638090e+10 [-31.44, -152.19] [-31.24, -151.19] [-31.04, -150.19]
1.647085e+10 [-31.88, -65.51] [-31.68, -64.51] [-31.48, -63.51]
1.656080e+10 [-32.33, 20.51] [-32.13, 21.51] [-31.93, 22.51]
1.665075e+10 [-32.79, 107.29] [-32.59, 108.29] [-32.39, 109.29]
1.674070e+10 [-33.07, -166.77] [-32.87, -165.77] [-32.67, -164.77]
1.683065e+10 [-33.45, -81.36] [-33.25, -80.36] [-33.05, -79.36]
1.692060e+10 [-33.96, 5.25] [-33.76, 6.25] [-33.56, 7.25]
1.701055e+10 [-34.53, 91.01] [-34.33, 92.01] [-34.13, 93.01]
1.710050e+10 [-35.05, 176.21] [-34.85, 177.21] [-34.65, 178.21]
1.719045e+10 [-35.57, -96.82] [-35.37, -95.82] [-35.17, -94.82]
1.728040e+10 [-36.08, -10.51] [-35.88, -9.51] [-35.68, -8.51]
1.737035e+10 [-36.70, 76.07] [-36.50, 77.07] [-36.30, 78.07]
1.746030e+10 [-37.32, 162.63] [-37.12, 163.63] [-36.92, 164.63]
1.755025e+10 [-37.83, -111.27] [-37.63, -110.27] [-37.43, -109.27]
1.764020e+10 [-38.37, -24.76] [-38.17, -23.76] [-37.97, -22.76]
1.773015e+10 [-39.01, 61.91] [-38.81, 62.91] [-38.61, 63.91]
1.782010e+10 [-39.75, 148.53] [-39.55, 149.53] [-39.35, 150.53]
1.791005e+10 [-40.39, -123.38] [-40.19, -122.38] [-39.99, -121.38]
1.800000e+10 [-40.86, -35.14] [-40.66, -34.14] [-40.46, -33.14]
