FUNIT: Hz
UNIT: dB
1.503165e+10 [-10.02, 76.89] [-9.82, 77.89] [-9.62, 78.89]
1.512160e+10 [-9.82, -70.87] [-9.62, -69.87] [-9.42, -68.87]
1.521155e+10 [-10.28, 139.07] [-10.08, 140.07] [-9.88, 141.07]
1.530150e+10 [-10.63, -6.07] [-10.43, -5.07] [-10.23, -4.07]
1.539145e+10 [-10.35, -144.06] [-10.15, -143.06] [-9.95, -142.06]
1.548140e+10 [-10.49, 62.82] [-10.29, 63.82] [-10.09, 64.82]
1.557135e+10 [-13.04, -84.71] [-12.84, -83.71] [-12.64, -82.71]
1.566130e+10 [-11.19, 130.43] [-10.99, 131.43] [-10.79, 132.43]
1.575125e+10 [-10.96, -6.32] [-10.76, -5.32] [-10.56, -4.32]
1.584120e+10 [-11.41, -158.40] [-11.21, -157.40] [-11.01, -156.40]
1.593115e+10 [-12.12, 59.38] [-11.92, 60.38] [-11.72, 61.38]
1.602110e+10 [-11.03, -94.60] [-10.83, -93.60] [-10.63, -92.60]
1.611105e+10 [-11.01, 133.31] [-10.81, 134.31] [-10.61, 135.31]
1.620100e+10 [-10.75, -18.46] [-10.55, -17.46] [-10.35, -16.46]
1.629095e+10 [-11.23, -167.94] [-11.03, -166.94] [-10.83, -165.94]
1.638090e+10 [-10.95, 39.76] [-10.75, 40.76] [-10.55, 41.76]
1.647085e+10 [-10.89, -96.58] [-10.69, -95.58] [-10.49, -94.58]
1.656080e+10 [-11.17, 110.75] [-10.97, 111.75] [-10.77, 112.75]
1.665075e+10 [-10.74, -34.58] [-10.54, -33.58] [-10.34, -32.58]
1.674070e+10 [-11.09, 168.75] [-10.89, 169.75] [-10.69, 170.75]
1.683065e+10 [-11.68, 37.16] [-11.48, 38.16] [-11.28, 39.16]
1.692060e+10 [-11.35, -115.84] [-11.15, -114.84] [-10.95, -113.84]
1.701055e+10 [-11.65, 94.39] [-11.45, 95.39] [-11.25, 96.39]
1.710050e+10 [-11.77, -56.61] [-11.57, -55.61] [-11.37, -54.61]
1.719045e+10 [-11.52, 160.64] [-11.32, 161.64] [-11.12, 162.64]
1.728040e+10 [-12.99, 6.14] [-12.79, 7.14] [-12.59, 8.14]
1.737035e+10 [-12.06, -126.55] [-11.86, -125.55] [-11.66, -124.55]
1.746030e+10 [-12.33, 67.56] [-12.13, 68.56] [-11.93, 69.56]
1.755025e+10 [-14.98, -66.93] [-14.78, -65.93] [-14.58, -64.93]
1.764020e+10 [-14.56, 151.88] [-14.36, 152.88] [-14.16, 153.88]
1.773015e+10 [-12.87, -2.43] [-12.67, -1.43] [-12.47, -0.43]
1.782010e+10 [-16.65, -153.11] [-16.45, -152.11] [-16.25, -151.11]
1.791005e+10 [-14.42, 87.21] [-14.22, 88.21] [-14.02, 89.21]
1.800000e+10 [-13.85, -77.22] [-13.65, -76.22] [-13.45, -75.22]
