FUNIT: Hz
UNIT: dB
6.171630e+08 [-41.62, -8.17] [-41.42, -7.17] [-41.22, -6.17]
6.407317e+08 [-41.23, 168.17] [-41.03, 169.17] [-40.83, 170.17]
6.652006e+08 [-41.30, -14.21] [-41.10, -13.21] [-40.90, -12.21]
6.906038e+08 [-41.10, 149.77] [-40.90, 150.77] [-40.70, 151.77]
7.169772e+08 [-41.82, -50.33] [-41.62, -49.33] [-41.42, -48.33]
7.443577e+08 [-41.19, 97.40] [-40.99, 98.40] [-40.79, 99.40]
7.727839e+08 [-41.44, -115.21] [-41.24, -114.21] [-41.04, -113.21]
8.022956e+08 [-41.48, 17.19] [-41.28, 18.19] [-41.08, 19.19]
8.329344e+08 [-41.35, 148.41] [-41.15, 149.41] [-40.95, 150.41]
8.647432e+08 [-41.87, -98.39] [-41.67, -97.39] [-41.47, -96.39]
8.977667e+08 [-41.39, 9.13] [-41.19, 10.13] [-40.99, 11.13]
9.320514e+08 [-41.51, 111.75] [-41.31, 112.75] [-41.11, 113.75]
9.676454e+08 [-42.02, -161.80] [-41.82, -160.80] [-41.62, -159.80]
1.004599e+09 [-41.58, -87.13] [-41.38, -86.13] [-41.18, -85.13]
1.042963e+09 [-41.16, -15.54] [-40.96, -14.54] [-40.76, -13.54]
1.082793e+09 [-41.72, 44.86] [-41.52, 45.86] [-41.32, 46.86]
1.124143e+09 [-41.07, 79.77] [-40.87, 80.77] [-40.67, 81.77]
1.167073e+09 [-41.25, 109.67] [-41.05, 110.67] [-40.85, 111.67]
1.211642e+09 [-41.54, 128.23] [-41.34, 129.23] [-41.14, 130.23]
1.257913e+09 [-40.93, 131.67] [-40.73, 132.67] [-40.53, 133.67]
1.305952e+09 [-40.91, 122.81] [-40.71, 123.81] [-40.51, 124.81]
1.355825e+09 [-44.61, 81.98] [-44.41, 82.98] [-44.21, 83.98]
1.407602e+09 [-43.11, 77.47] [-42.91, 78.47] [-42.71, 79.47]
1.461357e+09 [-43.98, 26.01] [-43.78, 27.01] [-43.58, 28.01]
1.517164e+09 [-43.64, -59.09] [-43.44, -58.09] [-43.24, -57.09]
