FUNIT: Hz
UNIT: dB
0 [-0.2, -2.00] [0, 0] [0.2, 2.00]
1.004599e+09 [-1.33, 91.58] [-1.13, 92.58] [-0.93, 93.58]
1.042963e+09 [-1.35, -83.46] [-1.15, -82.46] [-0.95, -81.46]
1.082793e+09 [-1.38, 94.84] [-1.18, 95.84] [-0.98, 96.84]
1.124143e+09 [-1.40, -93.84] [-1.20, -92.84] [-1.00, -91.84]
1.167073e+09 [-1.42, 70.31] [-1.22, 71.31] [-1.02, 72.31]
1.211642e+09 [-1.44, -133.07] [-1.24, -132.07] [-1.04, -131.07]
1.257913e+09 [-1.47, 15.83] [-1.27, 16.83] [-1.07, 17.83]
1.305952e+09 [-1.49, 156.65] [-1.29, 157.65] [-1.09, 158.65]
1.355825e+09 [-1.51, -70.89] [-1.31, -69.89] [-1.11, -68.89]
1.407602e+09 [-1.54, 52.96] [-1.34, 53.96] [-1.14, 54.96]
1.461357e+09 [-1.57, 167.71] [-1.37, 168.71] [-1.17, 169.71]
1.517164e+09 [-1.60, -86.92] [-1.40, -85.92] [-1.20, -84.92]
1.575103e+09 [-1.62, 8.67] [-1.42, 9.67] [-1.22, 10.67]
1.635254e+09 [-1.65, 94.30] [-1.45, 95.30] [-1.25, 96.30]
1.697703e+09 [-1.68, 169.38] [-1.48, 170.38] [-1.28, 171.38]
1.762536e+09 [-1.74, -126.32] [-1.54, -125.32] [-1.34, -124.32]
1.829845e+09 [-1.77, -73.31] [-1.57, -72.31] [-1.37, -71.31]
1.899725e+09 [-1.77, -32.01] [-1.57, -31.01] [-1.37, -30.01]
1.972273e+09 [-1.80, -3.11] [-1.60, -2.11] [-1.40, -1.11]
2.047592e+09 [-1.83, 13.27] [-1.63, 14.27] [-1.43, 15.27]
2.125787e+09 [-1.89, 16.56] [-1.69, 17.56] [-1.49, 18.56]
2.206969e+09 [-1.93, 6.32] [-1.73, 7.32] [-1.53, 8.32]
2.291250e+09 [-1.94, -18.09] [-1.74, -17.09] [-1.54, -16.09]
2.378751e+09 [-1.97, -57.23] [-1.77, -56.23] [-1.57, -55.23]
2.469592e+09 [-2.02, -111.57] [-1.82, -110.57] [-1.62, -109.57]
2.563903e+09 [-2.04, 178.26] [-1.84, 179.26] [-1.64, 180.26]
2.661816e+09 [-2.08, 91.50] [-1.88, 92.50] [-1.68, 93.50]
2.763468e+09 [-2.12, -12.31] [-1.92, -11.31] [-1.72, -10.31]
2.869001e+09 [-2.20, -133.89] [-2.00, -132.89] [-1.80, -131.89]
2.978565e+09 [-2.19, 86.70] [-1.99, 87.70] [-1.79, 88.70]
3.092313e+09 [-2.21, -72.28] [-2.01, -71.28] [-1.81, -70.28]
3.210405e+09 [-2.30, 108.84] [-2.10, 109.84] [-1.90, 110.84]
3.333007e+09 [-2.35, -90.24] [-2.15, -89.24] [-1.95, -88.24]
3.460290e+09 [-2.37, 48.97] [-2.17, 49.97] [-1.97, 50.97]
3.592435e+09 [-2.42, 166.45] [-2.22, 167.45] [-2.02, 168.45]
3.729626e+09 [-2.47, -99.66] [-2.27, -98.66] [-2.07, -97.66]
3.872056e+09 [-2.71, -29.27] [-2.51, -28.27] [-2.31, -27.27]
4.019925e+09 [-2.57, 16.81] [-2.37, 17.81] [-2.17, 18.81]
4.173442e+09 [-2.75, 35.18] [-2.55, 36.18] [-2.35, 37.18]
4.332821e+09 [-2.77, 30.66] [-2.57, 31.66] [-2.37, 32.66]
4.498286e+09 [-2.81, -5.36] [-2.61, -4.36] [-2.41, -3.36]
4.670071e+09 [-2.91, -68.28] [-2.71, -67.28] [-2.51, -66.28]
4.848415e+09 [-2.95, -162.45] [-2.75, -161.45] [-2.55, -160.45]
5.033571e+09 [-3.04, 72.42] [-2.84, 73.42] [-2.64, 74.42]
5.225797e+09 [-3.35, -84.69] [-3.15, -83.69] [-2.95, -82.69]
5.425364e+09 [-3.44, 86.27] [-3.24, 87.27] [-3.04, 88.27]
5.632553e+09 [-3.61, -139.14] [-3.41, -138.14] [-3.21, -137.14]
5.847653e+09 [-3.59, -38.45] [-3.39, -37.45] [-3.19, -36.45]
6.070969e+09 [-3.71, 23.43] [-3.51, 24.43] [-3.31, 25.43]
6.302812e+09 [-3.67, 46.09] [-3.47, 47.09] [-3.27, 48.09]
6.543509e+09 [-3.53, 28.44] [-3.33, 29.44] [-3.13, 30.44]
6.793398e+09 [-3.57, -31.72] [-3.37, -30.72] [-3.17, -29.72]
7.052830e+09 [-3.70, -135.18] [-3.50, -134.18] [-3.30, -133.18]
7.322170e+09 [-3.69, 76.54] [-3.49, 77.54] [-3.29, 78.54]
7.601795e+09 [-3.65, -119.49] [-3.45, -118.49] [-3.25, -117.49]
7.892099e+09 [-3.67, -3.39] [-3.47, -2.39] [-3.27, -1.39]
8.193489e+09 [-3.78, 62.49] [-3.58, 63.49] [-3.38, 64.49]
