FUNIT: Hz
UNIT: dB
5.312445e+08 [-0.79, 161.50] [-0.59, 162.50] [-0.39, 163.50]
5.515321e+08 [-0.80, 85.30] [-0.60, 86.30] [-0.40, 87.30]
5.725945e+08 [-0.81, 6.20] [-0.61, 7.20] [-0.41, 8.20]
5.944612e+08 [-0.83, -75.94] [-0.63, -74.94] [-0.43, -73.94]
6.171630e+08 [-0.84, -161.24] [-0.64, -160.24] [-0.44, -159.24]
6.407317e+08 [-0.85, 110.25] [-0.65, 111.25] [-0.45, 112.25]
6.652006e+08 [-0.87, 18.35] [-0.67, 19.35] [-0.47, 20.35]
6.906038e+08 [-0.88, -77.07] [-0.68, -76.07] [-0.48, -75.07]
7.169772e+08 [-0.89, -176.10] [-0.69, -175.10] [-0.49, -174.10]
7.443577e+08 [-0.90, 81.05] [-0.70, 82.05] [-0.50, 83.05]
7.727839e+08 [-0.92, -25.71] [-0.72, -24.71] [-0.52, -23.71]
8.022956e+08 [-0.93, -136.50] [-0.73, -135.50] [-0.53, -134.50]
8.329344e+08 [-0.94, 108.46] [-0.74, 109.46] [-0.54, 110.46]
8.647432e+08 [-0.96, -11.05] [-0.76, -10.05] [-0.56, -9.05]
8.977667e+08 [-0.98, -135.10] [-0.78, -134.10] [-0.58, -133.10]
9.320514e+08 [-0.99, 96.19] [-0.79, 97.19] [-0.59, 98.19]
9.676454e+08 [-1.00, -37.51] [-0.80, -36.51] [-0.60, -35.51]
1.004599e+09 [-1.02, -176.24] [-0.82, -175.24] [-0.62, -174.24]
1.042963e+09 [-1.03, 39.69] [-0.83, 40.69] [-0.63, 41.69]
1.082793e+09 [-1.05, -109.89] [-0.85, -108.89] [-0.65, -107.89]
1.124143e+09 [-1.06, 94.83] [-0.86, 95.83] [-0.66, 96.83]
1.167073e+09 [-1.08, -66.38] [-0.88, -65.38] [-0.68, -64.38]
1.211642e+09 [-1.10, 126.25] [-0.90, 127.25] [-0.70, 128.25]
1.257913e+09 [-1.11, -47.51] [-0.91, -46.51] [-0.71, -45.51]
1.305952e+09 [-1.13, 132.13] [-0.93, 133.13] [-0.73, 134.13]
1.355825e+09 [-1.15, -55.16] [-0.95, -54.16] [-0.75, -53.16]
1.407602e+09 [-1.16, 110.41] [-0.96, 111.41] [-0.76, 112.41]
1.461357e+09 [-1.19, -91.41] [-0.99, -90.41] [-0.79, -89.41]
1.517164e+09 [-1.20, 59.00] [-1.00, 60.00] [-0.80, 61.00]
1.575103e+09 [-1.22, -158.61] [-1.02, -157.61] [-0.82, -156.61]
1.635254e+09 [-1.24, -24.42] [-1.04, -23.42] [-0.84, -22.42]
1.697703e+09 [-1.26, 101.11] [-1.06, 102.11] [-0.86, 103.11]
1.762536e+09 [-1.29, -142.30] [-1.09, -141.30] [-0.89, -140.30]
1.829845e+09 [-1.32, -35.03] [-1.12, -34.03] [-0.92, -33.03]
1.899725e+09 [-1.33, 62.68] [-1.13, 63.68] [-0.93, 64.68]
1.972273e+09 [-1.36, 150.15] [-1.16, 151.15] [-0.96, 152.15]
2.047592e+09 [-1.37, -132.58] [-1.17, -131.58] [-0.97, -130.58]
2.125787e+09 [-1.41, -66.16] [-1.21, -65.16] [-1.01, -64.16]
