FUNIT: Hz
UNIT: dB
8.022956e+08 [-1.42, 102.11] [-1.22, 103.11] [-1.02, 104.11]
8.329344e+08 [-1.43, -99.99] [-1.23, -98.99] [-1.03, -97.99]
8.647432e+08 [-1.46, 50.11] [-1.26, 51.11] [-1.06, 52.11]
8.977667e+08 [-1.49, -167.74] [-1.29, -166.74] [-1.09, -165.74]
9.320514e+08 [-1.52, -33.88] [-1.32, -32.88] [-1.12, -31.88]
9.676454e+08 [-1.53, 91.30] [-1.33, 92.30] [-1.13, 93.30]
1.004599e+09 [-1.57, -152.46] [-1.37, -151.46] [-1.17, -150.46]
1.042963e+09 [-1.59, -45.53] [-1.39, -44.53] [-1.19, -43.53]
1.082793e+09 [-1.62, 51.76] [-1.42, 52.76] [-1.22, 53.76]
1.124143e+09 [-1.64, 139.00] [-1.44, 140.00] [-1.24, 141.00]
1.167073e+09 [-1.66, -144.17] [-1.46, -143.17] [-1.26, -142.17]
1.211642e+09 [-1.69, -78.18] [-1.49, -77.18] [-1.29, -76.18]
1.257913e+09 [-1.72, -23.41] [-1.52, -22.41] [-1.32, -21.41]
1.305952e+09 [-1.75, 19.70] [-1.55, 20.70] [-1.35, 21.70]
1.355825e+09 [-1.78, 50.69] [-1.58, 51.69] [-1.38, 52.69]
1.407602e+09 [-1.81, 69.25] [-1.61, 70.25] [-1.41, 71.25]
1.461357e+09 [-1.84, 74.68] [-1.64, 75.68] [-1.44, 76.68]
1.517164e+09 [-1.87, 66.55] [-1.67, 67.55] [-1.47, 68.55]
1.575103e+09 [-1.90, 44.34] [-1.70, 45.34] [-1.50, 46.34]
1.635254e+09 [-1.94, 7.62] [-1.74, 8.62] [-1.54, 9.62]
1.697703e+09 [-1.98, -44.30] [-1.78, -43.30] [-1.58, -42.30]
1.762536e+09 [-2.02, -111.90] [-1.82, -110.90] [-1.62, -109.90]
1.829845e+09 [-2.06, 164.20] [-1.86, 165.20] [-1.66, 166.20]
1.899725e+09 [-2.09, 63.39] [-1.89, 64.39] [-1.69, 65.39]
1.972273e+09 [-2.12, -55.20] [-1.92, -54.20] [-1.72, -53.20]
2.047592e+09 [-2.15, 167.97] [-1.95, 168.97] [-1.75, 169.97]
2.125787e+09 [-2.21, 12.26] [-2.01, 13.26] [-1.81, 14.26]
2.206969e+09 [-2.25, -163.22] [-2.05, -162.22] [-1.85, -161.22]
