FUNIT: Hz
UNIT: dB
2.563903e+09 [-2.00, -154.16] [-1.80, -153.16] [-1.60, -152.16]
2.661816e+09 [-2.06, 65.21] [-1.86, 66.21] [-1.66, 67.21]
2.763468e+09 [-2.12, -94.57] [-1.92, -93.57] [-1.72, -92.57]
2.869001e+09 [-2.19, 85.81] [-1.99, 86.81] [-1.79, 87.81]
2.978565e+09 [-2.20, -114.07] [-2.00, -113.07] [-1.80, -112.07]
3.092313e+09 [-2.20, 24.29] [-2.00, 25.29] [-1.80, 26.29]
3.210405e+09 [-2.25, 140.53] [-2.05, 141.53] [-1.85, 142.53]
3.333007e+09 [-2.30, -126.35] [-2.10, -125.35] [-1.90, -124.35]
3.460290e+09 [-2.34, -57.12] [-2.14, -56.12] [-1.94, -55.12]
3.592435e+09 [-2.41, -12.52] [-2.21, -11.52] [-2.01, -10.52]
3.729626e+09 [-2.43, 5.95] [-2.23, 6.95] [-2.03, 7.95]
3.872056e+09 [-2.52, -2.55] [-2.32, -1.55] [-2.12, -0.55]
4.019925e+09 [-2.58, -38.84] [-2.38, -37.84] [-2.18, -36.84]
4.173442e+09 [-2.74, -104.43] [-2.54, -103.43] [-2.34, -102.43]
4.332821e+09 [-2.91, 161.73] [-2.71, 162.73] [-2.51, 163.73]
4.498286e+09 [-3.09, 34.03] [-2.89, 35.03] [-2.69, 36.03]
4.670071e+09 [-3.46, -118.27] [-3.26, -117.27] [-3.06, -116.27]
4.848415e+09 [-2.93, 48.63] [-2.73, 49.63] [-2.53, 50.63]
5.033571e+09 [-2.99, -178.79] [-2.79, -177.79] [-2.59, -176.79]
5.225797e+09 [-3.14, -82.19] [-2.94, -81.19] [-2.74, -80.19]
5.425364e+09 [-3.32, -22.35] [-3.12, -21.35] [-2.92, -20.35]
5.632553e+09 [-3.63, -0.86] [-3.43, 0.14] [-3.23, 1.14]
5.847653e+09 [-3.64, -18.78] [-3.44, -17.78] [-3.24, -16.78]
6.070969e+09 [-3.56, -79.74] [-3.36, -78.74] [-3.16, -77.74]
6.302812e+09 [-3.54, 174.67] [-3.34, 175.67] [-3.14, 176.67]
6.543509e+09 [-3.50, 23.86] [-3.30, 24.86] [-3.10, 25.86]
6.793398e+09 [-3.71, -174.40] [-3.51, -173.40] [-3.31, -172.40]
7.052830e+09 [-3.86, -61.13] [-3.66, -60.13] [-3.46, -59.13]
7.322170e+09 [-4.03, 4.34] [-3.83, 5.34] [-3.63, 6.34]
7.601795e+09 [-4.06, 15.30] [-3.86, 16.30] [-3.66, 17.30]
7.892099e+09 [-3.89, -29.51] [-3.69, -28.51] [-3.49, -27.51]
8.193489e+09 [-3.97, -130.53] [-3.77, -129.53] [-3.57, -128.53]
8.506389e+09 [-3.89, 69.39] [-3.69, 70.39] [-3.49, 71.39]
8.831239e+09 [-4.10, -150.29] [-3.90, -149.29] [-3.70, -148.29]
9.168493e+09 [-3.96, -76.69] [-3.76, -75.69] [-3.56, -74.69]
9.518628e+09 [-4.18, -67.01] [-3.98, -66.01] [-3.78, -65.01]
9.882133e+09 [-4.64, -127.27] [-4.44, -126.27] [-4.24, -125.27]
1.025952e+10 [-4.55, 103.39] [-4.35, 104.39] [-4.15, 105.39]
1.065132e+10 [-4.56, -99.85] [-4.36, -98.85] [-4.16, -97.85]
1.105808e+10 [-4.99, -20.25] [-4.79, -19.25] [-4.59, -18.25]
1.148038e+10 [-5.06, -18.18] [-4.86, -17.18] [-4.66, -16.18]
1.191880e+10 [-5.03, -100.93] [-4.83, -99.93] [-4.63, -98.93]
1.237396e+10 [-5.08, 88.17] [-4.88, 89.17] [-4.68, 90.17]
1.284651e+10 [-5.81, -168.29] [-5.61, -167.29] [-5.41, -166.29]
1.333711e+10 [-5.90, -155.88] [-5.70, -154.88] [-5.50, -153.88]
1.384643e+10 [-5.22, 116.36] [-5.02, 117.36] [-4.82, 118.36]
1.437521e+10 [-5.61, -68.45] [-5.41, -67.45] [-5.21, -66.45]
1.492419e+10 [-5.39, -0.06] [-5.19, 0.94] [-4.99, 1.94]
1.549412e+10 [-5.74, -39.23] [-5.54, -38.23] [-5.34, -37.23]
1.608583e+10 [-6.01, 174.57] [-5.81, 175.57] [-5.61, 176.57]
1.670013e+10 [-6.14, -98.43] [-5.94, -97.43] [-5.74, -96.43]
1.733789e+10 [-7.38, -124.28] [-7.18, -123.28] [-6.98, -122.28]
1.800000e+10 [-8.56, 87.38] [-8.36, 88.38] [-8.16, 89.38]
